,Link,Title,Text,Code
0,https://stackoverflow.com/questions/59895/,How to get the source directory of a Bash script from within the script itself?,"['is a useful one-liner which will give you the full directory name of the script no matter where it is being called from.', 'It will work as long as the last component of the path used to find the script is not a symlink (directory links are OK).  If you also want to resolve any links to the script itself, you need a multi-line solution:', 'This last one will work with any combination of aliases, source, bash -c, symlinks, etc.', 'Beware: if you cd to a different directory before running this snippet, the result may be incorrect!', 'Also, watch out for $CDPATH gotchas, and stderr output side effects if the user has smartly overridden cd to redirect output to stderr instead (including escape sequences, such as when calling update_terminal_cwd >&2 on Mac). Adding >/dev/null 2>&1 at the end of your cd command will take care of both possibilities.', 'To understand how it works, try running this more verbose form:', 'And it will print something like:']","[<code>#!/bin/bash

DIR=""$( cd ""$( dirname ""${BASH_SOURCE[0]}"" )"" &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )""
</code>, <code>#!/bin/bash

SOURCE=""${BASH_SOURCE[0]}""
while [ -h ""$SOURCE"" ]; do # resolve $SOURCE until the file is no longer a symlink
  DIR=""$( cd -P ""$( dirname ""$SOURCE"" )"" &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )""
  SOURCE=""$(readlink ""$SOURCE"")""
  [[ $SOURCE != /* ]] &amp;&amp; SOURCE=""$DIR/$SOURCE"" # if $SOURCE was a relative symlink, we need to resolve it relative to the path where the symlink file was located
done
DIR=""$( cd -P ""$( dirname ""$SOURCE"" )"" &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )""
</code>, <code>source</code>, <code>bash -c</code>, <code>cd</code>, <code>$CDPATH</code>, <code>update_terminal_cwd &gt;&amp;2</code>, <code>&gt;/dev/null 2&gt;&amp;1</code>, <code>cd</code>, <code>#!/bin/bash

SOURCE=""${BASH_SOURCE[0]}""
while [ -h ""$SOURCE"" ]; do # resolve $SOURCE until the file is no longer a symlink
  TARGET=""$(readlink ""$SOURCE"")""
  if [[ $TARGET == /* ]]; then
    echo ""SOURCE '$SOURCE' is an absolute symlink to '$TARGET'""
    SOURCE=""$TARGET""
  else
    DIR=""$( dirname ""$SOURCE"" )""
    echo ""SOURCE '$SOURCE' is a relative symlink to '$TARGET' (relative to '$DIR')""
    SOURCE=""$DIR/$TARGET"" # if $SOURCE was a relative symlink, we need to resolve it relative to the path where the symlink file was located
  fi
done
echo ""SOURCE is '$SOURCE'""
RDIR=""$( dirname ""$SOURCE"" )""
DIR=""$( cd -P ""$( dirname ""$SOURCE"" )"" &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )""
if [ ""$DIR"" != ""$RDIR"" ]; then
  echo ""DIR '$RDIR' resolves to '$DIR'""
fi
echo ""DIR is '$DIR'""
</code>, <code>SOURCE './scriptdir.sh' is a relative symlink to 'sym2/scriptdir.sh' (relative to '.')
SOURCE is './sym2/scriptdir.sh'
DIR './sym2' resolves to '/home/ubuntu/dotfiles/fo fo/real/real1/real2'
DIR is '/home/ubuntu/dotfiles/fo fo/real/real1/real2'
</code>]"
1,https://stackoverflow.com/questions/59838/,How can I check if a directory exists in a Bash shell script?,"['To check if a directory exists in a shell script, you can use the following:', ""Or to check if a directory doesn't exist:"", 'However, as Jon Ericson points out, subsequent commands may not work as intended if you do not take into account that a symbolic link to a directory will also pass this check.\nE.g. running this:', 'Will produce the error message:', 'So symbolic links may have to be treated differently, if subsequent commands expect directories:', 'Take particular note of the double-quotes used to wrap the variables. The reason for this is explained by 8jean in another answer.', 'If the variables contain spaces or other unusual characters it will probably cause the script to fail.']","[<code>if [ -d ""$DIRECTORY"" ]; then
  # Control will enter here if $DIRECTORY exists.
fi
</code>, <code>if [ ! -d ""$DIRECTORY"" ]; then
  # Control will enter here if $DIRECTORY doesn't exist.
fi
</code>, <code>ln -s ""$ACTUAL_DIR"" ""$SYMLINK""
if [ -d ""$SYMLINK"" ]; then 
  rmdir ""$SYMLINK"" 
fi
</code>, <code>rmdir: failed to remove `symlink': Not a directory
</code>, <code>if [ -d ""$LINK_OR_DIR"" ]; then 
  if [ -L ""$LINK_OR_DIR"" ]; then
    # It is a symlink!
    # Symbolic link specific commands go here.
    rm ""$LINK_OR_DIR""
  else
    # It's a directory!
    # Directory command goes here.
    rmdir ""$LINK_OR_DIR""
  fi
fi
</code>]"
2,https://stackoverflow.com/questions/638975/,How do I tell if a regular file does not exist in Bash?,"['The test command ([ here) has a ""not"" logical operator which is the exclamation point (similar to many other languages). Try this:']","[<code>[</code>, <code>if [ ! -f /tmp/foo.txt ]; then
    echo ""File not found!""
fi
</code>]"
3,https://stackoverflow.com/questions/4181703/,How to concatenate string variables in Bash,['In general to concatenate two variables you can just write them one after another:'],"[<code>foo=""Hello""
foo=""${foo} World""
echo ""${foo}""
&gt; Hello World
</code>, <code>a='Hello'
b='World'
c=""${a} ${b}""
echo ""${c}""
&gt; Hello World
</code>]"
4,https://stackoverflow.com/questions/229551/,How to check if a string contains a substring in Bash,"[""You can use Marcus's answer (* wildcards) outside a case statement, too, if you use double brackets:"", 'Note that spaces in the needle string need to be placed between double quotes, and the * wildcards should be outside. Also note that a simple comparison operator is used (i.e. ==), not the regex operator =~.']","[<code>string='My long string'
if [[ $string == *""My long""* ]]; then
  echo ""It's there!""
fi
</code>, <code>*</code>, <code>==</code>, <code>=~</code>]"
5,https://stackoverflow.com/questions/8467424/,Echo newline in Bash prints literal \n,"['You could use printf instead:', 'printf has more consistent behavior than echo. The behavior of echo varies greatly between different versions.']","[<code>printf</code>, <code>printf ""hello\nworld\n""
</code>, <code>printf</code>, <code>echo</code>, <code>echo</code>]"
6,https://stackoverflow.com/questions/818255/,"In the shell, what does "" 2>&1 "" mean?","['File descriptor 1 is the standard output (stdout).\nFile descriptor 2 is the standard error (stderr).', 'Here is one way to remember this construct (although it is not entirely accurate): at first, 2>1 may look like a good way to redirect stderr to stdout. However, it will actually be interpreted as ""redirect stderr to a file named 1"". & indicates that what follows and precedes is a file descriptor and not a filename. So the construct becomes: 2>&1.', 'Consider >& as redirect merger operator.']","[<code>stdout</code>, <code>stderr</code>, <code>2&gt;1</code>, <code>stderr</code>, <code>stdout</code>, <code>stderr</code>, <code>1</code>, <code>&amp;</code>, <code>2&gt;&amp;1</code>, <code>&gt;&amp;</code>]"
7,https://stackoverflow.com/questions/592620/,How can I check if a program exists from a Bash script?,"['POSIX compatible:', 'Example use:', 'For Bash specific environments:', ""Avoid which. Not only is it an external process you're launching for doing very little (meaning builtins like hash, type or command are way cheaper), you can also rely on the builtins to actually do what you want, while the effects of external commands can easily vary from system to system."", 'Why care?', ""So, don't use which. Instead use one of these:"", '(Minor side-note: some will suggest 2>&- is the same 2>/dev/null but shorter – this is untrue.  2>&- closes FD 2 which causes an error in the program when it tries to write to stderr, which is very different from successfully writing to it and discarding the output (and dangerous!))', ""If your hash bang is /bin/sh then you should care about what POSIX says. type and hash's exit codes aren't terribly well defined by POSIX, and hash is seen to exit successfully when the command doesn't exist (haven't seen this with type yet).  command's exit status is well defined by POSIX, so that one is probably the safest to use."", ""If your script uses bash though, POSIX rules don't really matter anymore and both type and hash become perfectly safe to use. type now has a -P to search just the PATH and hash has the side-effect that the command's location will be hashed (for faster lookup next time you use it), which is usually a good thing since you probably check for its existence in order to actually use it."", ""As a simple example, here's a function that runs gdate if it exists, otherwise date:"", 'You can use scripts-common to reach your need.', 'To check if something is installed, you can do:']","[<code>command -v &lt;the_command&gt;
</code>, <code>if ! command -v COMMAND &amp;&gt; /dev/null
then
    echo ""COMMAND could not be found""
    exit
fi
</code>, <code>hash &lt;the_command&gt; # For regular commands. Or...
type &lt;the_command&gt; # To check built-ins and keywords
</code>, <code>which</code>, <code>hash</code>, <code>type</code>, <code>command</code>, <code>which</code>, <code>if which foo</code>, <code>foo</code>, <code>hash</code>, <code>which</code>, <code>which</code>, <code>$ command -v foo &gt;/dev/null 2&gt;&amp;1 || { echo &gt;&amp;2 ""I require foo but it's not installed.  Aborting.""; exit 1; }
$ type foo &gt;/dev/null 2&gt;&amp;1 || { echo &gt;&amp;2 ""I require foo but it's not installed.  Aborting.""; exit 1; }
$ hash foo 2&gt;/dev/null || { echo &gt;&amp;2 ""I require foo but it's not installed.  Aborting.""; exit 1; }
</code>, <code>2&gt;&amp;-</code>, <code>2&gt;/dev/null</code>, <code>2&gt;&amp;-</code>, <code>/bin/sh</code>, <code>type</code>, <code>hash</code>, <code>hash</code>, <code>type</code>, <code>command</code>, <code>bash</code>, <code>type</code>, <code>hash</code>, <code>type</code>, <code>-P</code>, <code>PATH</code>, <code>hash</code>, <code>gdate</code>, <code>date</code>, <code>gnudate() {
    if hash gdate 2&gt;/dev/null; then
        gdate ""$@""
    else
        date ""$@""
    fi
}
</code>, <code>checkBin &lt;the_command&gt; || errorMessage ""This tool requires &lt;the_command&gt;. Install it please, and then run this tool again.""
</code>]"
8,https://stackoverflow.com/questions/965053/,Extract filename and extension in Bash,"['First, get file name without the path:', ""Alternatively, you can focus on the last '/' of the path instead of the '.' which should work even if you have unpredictable file extensions:"", 'You may want to check the documentation :']","[<code>filename=$(basename -- ""$fullfile"")
extension=""${filename##*.}""
filename=""${filename%.*}""
</code>, <code>filename=""${fullfile##*/}""
</code>]"
9,https://stackoverflow.com/questions/918886/,How do I split a string on a delimiter in Bash?,"[""You can set the internal field separator (IFS) variable, and then let it parse into an array. When this happens in a command, then the assignment to IFS only takes place to that single command's environment (to read ). It then parses the input according to the IFS variable value into an array, which we can then iterate over."", 'It will parse one line of items separated by ;, pushing it into an array. Stuff for processing whole of $IN, each time one line of input separated by ;:']","[<code>IFS</code>, <code>read</code>, <code>IFS</code>, <code>IFS=';' read -ra ADDR &lt;&lt;&lt; ""$IN""
for i in ""${ADDR[@]}""; do
    # process ""$i""
done
</code>, <code>;</code>, <code>$IN</code>, <code>;</code>, <code> while IFS=';' read -ra ADDR; do
      for i in ""${ADDR[@]}""; do
          # process ""$i""
      done
 done &lt;&lt;&lt; ""$IN""
</code>]"
