,Link,Title,Text,Code
0,https://superuser.com/questions/46139/,What does 'source' do?,"['source is a bash shell built-in command that executes the content of the file passed as argument, in the current shell. It has a synonym in . (period).', 'Syntax']","[<code>source</code>, <code>.</code>, <code>. filename [arguments]

source filename [arguments]
</code>]"
1,https://superuser.com/questions/183870/,Difference between .bashrc and .bash_profile,"[""Traditionally, when you log into a Unix system, the system would start one program for you. That program is a shell, i.e., a program designed to start other programs. It's a command line shell: you start another program by typing its name. The default shell, a Bourne shell, reads commands from ~/.profile when it is invoked as the login shell."", ""Bash is a Bourne-like shell. It reads commands from ~/.bash_profile when it is invoked as the login shell, and if that file doesn't exist¹, it tries reading ~/.profile instead."", ""You can invoke a shell directly at any time, for example by launching a terminal emulator inside a GUI environment. If the shell is not a login shell, it doesn't read ~/.profile. When you start bash as an interactive shell (i.e., not to run a script), it reads ~/.bashrc (except when invoked as a login shell, then it only reads ~/.bash_profile or ~/.profile."", 'Therefore:', '~/.profile is the place to put stuff that applies to your whole session, such as programs that you want to start when you log in (but not graphical programs, they go into a different file), and environment variable definitions.', '~/.bashrc is the place to put stuff that applies only to bash itself, such as alias and function definitions, shell options, and prompt settings. (You could also put key bindings there, but for bash they normally go into ~/.inputrc.)', ""~/.bash_profile can be used instead of ~/.profile, but it is read by bash only, not by any other shell. (This is mostly a concern if you want your initialization files to work on multiple machines and your login shell isn't bash on all of them.) This is a logical place to include ~/.bashrc if the shell is interactive. I recommend the following contents in ~/.bash_profile:"", ""On modern unices, there's an added complication related to ~/.profile. If you log in in a graphical environment (that is, if the program where you type your password is running in graphics mode), you don't automatically get a login shell that reads ~/.profile. Depending on the graphical login program, on the window manager or desktop environment you run afterwards, and on how your distribution configured these programs, your ~/.profile may or may not be read. If it's not, there's usually another place where you can define environment variables and programs to launch when you log in, but there is unfortunately no standard location."", 'Note that you may see here and there recommendations to either put environment variable definitions in ~/.bashrc or always launch login shells in terminals. Both are bad ideas. The most common problem with either of these ideas is that your environment variables will only be set in programs launched via the terminal, not in programs started directly with an icon or menu or keyboard shortcut.', ""¹  For completeness, by request: if .bash_profile doesn't exist, bash also tries .bash_login before falling back to .profile. Feel free to forget it exists.  ""]","[<code>~/.profile</code>, <code>~/.bash_profile</code>, <code>~/.profile</code>, <code>~/.profile</code>, <code>~/.bashrc</code>, <code>~/.bash_profile</code>, <code>~/.profile</code>, <code>~/.profile</code>, <code>~/.bashrc</code>, <code>~/.inputrc</code>, <code>~/.bash_profile</code>, <code>~/.profile</code>, <code>~/.bashrc</code>, <code>~/.bash_profile</code>, <code>if [ -r ~/.profile ]; then . ~/.profile; fi
case ""$-"" in *i*) if [ -r ~/.bashrc ]; then . ~/.bashrc; fi;; esac
</code>, <code>~/.profile</code>, <code>~/.profile</code>, <code>~/.profile</code>, <code>~/.bashrc</code>, <code>.bash_profile</code>, <code>.bash_login</code>, <code>.profile</code>]"
2,https://superuser.com/questions/176783/,What is the difference between executing a Bash script vs sourcing it?,"['Sourcing a script will run the commands in the current shell process. ', 'Executing a script will run the commands in a new shell process. ', 'Use source if you want the script to change the environment in your currently running shell. use execute otherwise.', 'If you are still confused, please read on. ', 'To clarify some common confusion about the syntax to execute and the syntax to source:', 'This will execute myscript provided that the file is executable and located in the current directory. The leading dot and slash (./) denotes the current directory. This is necessary because the current directory is usually not (and usually should not be) in $PATH.', 'This will execute myscript if the file is executable and located in some directory in $PATH.', 'This will source myscript. The file need not be executable but it must be a valid shell script. The file can be in current directory or in a directory in $PATH.', 'This will also source myscript. This ""spelling"" is the official one as defined by POSIX. Bash defined source as an alias to the dot.', 'Consider myscript.sh with following content:', 'Before we execute the script first we check the current environment:', 'The variable FOO is not defined and we are in the home directory.', 'Now we execute the file:', 'Check the environment again:', 'The variable FOO is not set and the working directory did not change.', 'The script output clearly shows that the variable was set and the directory was changed. The check afterwards show that the variable is not set and the directory not changed. What happened? The changes were made in a new shell. The current shell spawned a new shell to run the script. The script is running in the new shell and all changes to the environment take effect in the new shell. After the script is done the new shell is destroyed. All changes to the environment in the new shell are destroyed with the new shell. Only the output text is printed in the current shell.', 'Now we source the file:', 'Check the environment again:', 'The variable FOO is set and the working directory has changed.', 'Sourcing the script does not create a new shell. All commands are run in the current shell and changes to the environment take effect in the current shell.', 'Note that in this simple example the output of executing is the same as sourcing the script. This is not necessarily always the case.', 'Consider following script pid.sh:', '(the special variable $$ expands to the PID of the current running shell process)', 'First print the PID of the current shell:', 'Source the script:', 'Execute the script, note the PID:', 'Source again:', 'Execute again:', 'You can see that sourcing the script runs in the same process while executing the script creates a new process everytime. That new process is the new shell which was created for the execution of the script. Sourcing the script does not create a new shell and thus the PID stays the same.', 'Both sourcing and executing the script will run the commands in the script line by line, as if you typed those commands by hand line by line.', 'The differences are:', 'Use source if you want the script to change the environment in your currently running shell. use execute otherwise.', 'See also:']","[<code>./myscript
</code>, <code>myscript</code>, <code>./</code>, <code>$PATH</code>, <code>myscript
</code>, <code>myscript</code>, <code>$PATH</code>, <code>source myscript
</code>, <code>myscript</code>, <code>$PATH</code>, <code>. myscript
</code>, <code>myscript</code>, <code>source</code>, <code>myscript.sh</code>, <code>#!/bin/sh
# demonstrate setting a variable
echo ""foo: ""$(env | grep FOO)
export FOO=foo
echo ""foo: ""$(env | grep FOO)
# demonstrate changing of working directory
echo ""PWD: ""$PWD
cd somedir
echo ""PWD: ""$PWD
</code>, <code>$ env | grep FOO
$ echo $PWD
/home/lesmana
</code>, <code>FOO</code>, <code>$ ./myscript.sh
foo:
foo: FOO=foo
PWD: /home/lesmana
PWD: /home/lesmana/somedir
</code>, <code>$ env | grep FOO
$ echo $PWD
/home/lesmana
</code>, <code>FOO</code>, <code>$ source myscript.sh
foo:
foo: FOO=foo
PWD: /home/lesmana
PWD: /home/lesmana/somedir
</code>, <code>$ env | grep FOO
FOO=foo
$ echo $PWD
/home/lesmana/somedir
</code>, <code>pid.sh</code>, <code>#!/bin/sh
echo $$
</code>, <code>$$</code>, <code>$ echo $$
25009
</code>, <code>$ source pid.sh
25009
</code>, <code>$ ./pid.sh
25011
</code>, <code>$ source pid.sh
25009
</code>, <code>$ ./pid.sh
25013
</code>]"
3,https://superuser.com/questions/246837/,How do I add text to the beginning of a file in Bash?,"['Linux :', 'or', 'or', 'Mac os x :', 'or', 'or']","[<code>echo 'task goes here' | cat - todo.txt &gt; temp &amp;&amp; mv temp todo.txt
</code>, <code>sed -i '1s/^/task goes here\n/' todo.txt
</code>, <code>sed -i '1itask goes here' todo.txt
</code>, <code>sed -i '.bak' '1s/^/task goes here\'$'\n/g' todo.txt
</code>, <code>echo -e ""task goes here\n$(cat todo.txt)"" &gt; todo.txt
</code>, <code>echo 'task goes here' | cat - todo.txt &gt; temp &amp;&amp; mv temp todo.txt
</code>]"
4,https://superuser.com/questions/7414/,How can I search the bash history and rerun a command?,"['Type Ctrl R at the command line and start typing the previous command.  Once a result appears keep hitting Ctrl R to see other matches.  When the command you want appears, simply press Enter', 'Note that while Ctrl R is the default, if you wanted the command (reverse-search-history) to be bound to Ctrl T you could configure that with the following:', 'There are a whole host of other readline bindable commands that are available to you as well.  Take a look at the bash man page.', 'Bash has many facilities to search and access interactive command history.  The most basic of which is the history builtin.  Typing just:', 'Will print a list of commands along with a numeric index, like:', 'You can then execute any of these commands using their numeric index by prefacing the index with a single !, as Mitch pointed out:', 'Will execute the clear command.  The history builtin has many features itself, you can see more in the bash and history man pages.', 'You can also specify relative negative offsets when using the ! designator, so using our history list above, if we wanted to execute vim again, we could do:', 'Which is basically telling bash to execute the command you ran ""two commands ago.""  To run the previous command in the history list, we can just use !! (which is just shorthand for !-1).', ""The ! designator doesn't limit you to numerically specifying which command to run. hayalci showed that you can instruct bash to execute a command based on either the text it begins with (using !) or text within the command itself (using !?).  Again, using our example history list above, if we wanted to execute clear again, all we need to do is type:"", 'and press Enter.  And what about vim?  That is as simple as:', ""The most important point from hayalci's response is the call to the shopt builtin:"", 'This will enable history verification so that commands that are matched by the !, !!, and !? designators are not blindly executed, but instead filled in on the command line so you can ensure they will do no evil before executing them.  This is even more important when you are executing commands as the root user.  This option can be set in your .bashrc startup file so that it is set whenever you log in.', 'As has already been pointed out, all of this information can be gleaned from the bash man page.  For the !, !!, and !? designators, take a look at Section 9.3 History Expansion.']","[<code>reverse-search-history</code>, <code>bash</code>, <code>history</code>, <code>!</code>, <code>clear</code>, <code>bash</code>, <code>history</code>, <code>!</code>, <code>vim</code>, <code>!!</code>, <code>!-1</code>, <code>!</code>, <code>bash</code>, <code>!</code>, <code>!?</code>, <code>clear</code>, <code>vim</code>, <code>shopt</code>, <code>!</code>, <code>!!</code>, <code>!?</code>, <code>.bashrc</code>, <code>bash</code>]"
5,https://superuser.com/questions/113219/,Go back to previous directory in shell,"['cd - (goes back to previous directory)', 'If you want to be able to go to the other previous directories, this is not possible out of the box. But check this script and instructions:', 'History of visited directories in BASH', 'The cd command works as usual. The new\n  feature is the history of the last 10\n  directories and the cd command\n  expanded to display and access it. cd\n  -- (or simply pressing ctrl+w) shows the history. In front of every\n  directory name you see a number. cd\n  -num with the number you want jumps to the corresponding directory from the\n  history.']",[<code>cd -</code>]
6,https://superuser.com/questions/284187/,Bash: Iterating over lines in a variable,"[""With bash, if you want to embed newlines in a string, enclose the string with $'':"", 'And if you have such a string already in a variable, you can read it line-by-line with:']","[<code>$''</code>, <code>$ list=""One\ntwo\nthree\nfour""
$ echo ""$list""
One\ntwo\nthree\nfour
$ list=$'One\ntwo\nthree\nfour'
$ echo ""$list""
One
two
three
four
</code>, <code>while IFS= read -r line; do
    echo ""... $line ...""
done &lt;&lt;&lt; ""$list""
</code>]"
7,https://superuser.com/questions/133780/,"In bash, how do I escape an exclamation mark?",['Since you do not depend on bash to expand variables in your commit message you could use single quotes instead. Strings in single quotes are not expanded by bash.'],"[<code>bzr commit -m 'This does work!' 
</code>]"
8,https://superuser.com/questions/140461/,Using watch with pipes,['Surround the command with quotes'],"[<code>watch -n 1 'tail -n 200 log/site_dev.log | fgrep Doctrine'
</code>]"
9,https://superuser.com/questions/421463/,Why does Ctrl + V not paste in Bash (Linux shell)?,"['In the days of physical terminals, session-wide clipboards did not exist, only few programs supported internal copy/paste – often under the name of ""buffers"" or ""kill rings"" – and used various different keystrokes. For example, the bash shell uses CtrlK or CtrlU to ""kill"" (cut), CtrlY to ""yank"" (paste); this comes from the emacs editor.', 'CtrlC almost everywhere in Unix was the ""interrupt"" key, used to cancel the current program or operation. The CtrlV key often meant ""verbatim insert"" – that is, insert the following character literally without performing any associated action. For example, a normal Esc switches to command mode in the vi editor, but CtrlV, Esc will insert the ESC character into the document.', 'The use of CtrlC to copy and CtrlV to paste from session-wide clipboard was introduced by Mac OS in 1983 and Microsoft Windows 3.x in 1990. (Earlier Windows versions (1.x and 2.x), as well as IBM OS/2, only supported the IBM CUA keys CtrlIns to copy and ShiftIns to paste; these shortcuts remain supported by all Windows versions.)', 'When GUIs with clipboard support finally reached Unix, the Ctrl keypresses were already in use by many terminal programs. In addition, the X graphical interface had somewhat different mechanisms: ""selections"" and ""cut buffers"". Even now you can select text in one program and insert it using the middle mouse button, without any explicit copy action.', 'In short, by the time Xterm and GNOME Terminal were written (I\'m guessing you use the latter), CtrlV already had a completely different meaning for many years and could not be changed. In addition, an alternative method of copying text – the ""selection"" – was already present in X11, so explicit copy/paste action was probably considered not as important as it would be in Windows. This means that different keyboard shortcuts had to be selected – for example, most modern terminal programs, like GNOME Terminal, use CtrlShiftC and CtrlShiftV. (If you use Xterm, the same shortcuts can be added manually using the XTerm*vt100*translations Xresource. Rxvt does not have such an option.)', '(Most X11 toolkits also support the CUA ""copy"" and ""paste"" keys, which do not conflict with terminal programs. Unfortunately, the implementations are rather inconsistent – CtrlIns copies to the ""clipboard"" in most programs (GTK, Qt4, but ignored by Xaw); however, ShiftIns pastes from the ""primary selection"" in most GTK and Qt4 programs, but from ""clipboard"" in Firefox, and from the now-obsolete cut-buffers in the now-obsolete Xaw.)', 'All that said, some terminals or consoles (in particular, the Windows 10 console) do support these keys. As the Windows console always had a separate ""mark/select"" mode, CtrlC now also has two meanings based on context – in regular mode it sends an interrupt, in select mode it copies to clipboard (just like Enter used to).', 'Meanwhile, Windows command-line tools never really used CtrlV for anything, so it was bound to ""paste"" without disturbing much anything. Doing the same on Unix-like terminals however would be more problematic.']",[<code>ESC</code>]
