,Link,Title,Text,Code
0,https://unix.stackexchange.com/questions/26047/,How to correctly add a path to PATH?,"['or', 'depending on whether you want to add ~/opt/bin at the end (to be searched after all other directories, in case there is a program by the same name in multiple directories) or at the beginning (to be searched before all other directories).', ""You can add multiple entries at the same time. PATH=$PATH:~/opt/bin:~/opt/node/bin or variations on the ordering work just fine. Don't put export at the beginning of the line as it has additional complications (see below under “Notes on shells other than bash”)."", 'If your PATH gets built by many different components, you might end up with duplicate entries. See How to add home directory path to be discovered by Unix which command? and Remove duplicate $PATH entries with awk command to avoid adding duplicates or remove them.', 'Some distributions automatically put ~/bin in your PATH if it exists, by the way.', ""Put the line to modify PATH in ~/.profile, or in ~/.bash_profile if that's what you have."", ""Note that ~/.bash_rc is not read by any program, and ~/.bashrc is the configuration file of interactive instances of bash. You should not define environment variables in ~/.bashrc. The right place to define environment variables such as PATH is ~/.profile (or ~/.bash_profile if you don't care about shells other than bash). See What's the difference between them and which one should I use?"", ""Don't put it in /etc/environment or ~/.pam_environment: these are not shell files, you can't use substitutions like $PATH in there. In these files, you can only override a variable, not add to it."", ""You don't need export if the variable is already in the environment: any change of the value of the variable is reflected in the environment.¹ PATH is pretty much always in the environment; all unix systems set it very early on (usually in the very first process, in fact)."", ""At login time, you can rely on PATH being already in the environment, and already containing some system directories. If you're writing a script that may be executed early while setting up some kind of virtual environment, you may need to ensure that PATH is non-empty and exported: if PATH is still unset, then something like PATH=$PATH:/some/directory would set PATH to :/some/directory, and the empty component at the beginning means the current directory (like .:/some/directory)."", 'In bash, ksh and zsh, export is special syntax, and both PATH=~/opt/bin:$PATH and export PATH=~/opt/bin:$PATH do the right thing even. In other Bourne/POSIX-style shells such as dash (which is /bin/sh on many systems), export is parsed as an ordinary command, which implies two differences:', 'So in shells like dash, export PATH=~/opt/bin:$PATH sets PATH to the literal string ~/opt/bin/: followed by the value of PATH up to the first space.\nPATH=~/opt/bin:$PATH (a bare assignment) doesn\'t require quotes and does the right thing. If you want to use export in a portable script, you need to write export PATH=""$HOME/opt/bin:$PATH"", or PATH=~/opt/bin:$PATH; export PATH (or PATH=$HOME/opt/bin:$PATH; export PATH for portability to even the Bourne shell that didn\'t accept export var=value and didn\'t do tilde expansion).', ""¹  This wasn't true in Bourne shells (as in the actual Bourne shell, not modern POSIX-style shells), but you're highly unlikely to encounter such old shells these days.  ""]","[<code>PATH=$PATH:~/opt/bin
</code>, <code>PATH=~/opt/bin:$PATH
</code>, <code>~/opt/bin</code>, <code>PATH=$PATH:~/opt/bin:~/opt/node/bin</code>, <code>export</code>, <code>PATH</code>, <code>~/bin</code>, <code>PATH</code>, <code>~/.profile</code>, <code>~/.bash_profile</code>, <code>~/.bash_rc</code>, <code>~/.bashrc</code>, <code>~/.bashrc</code>, <code>PATH</code>, <code>~/.profile</code>, <code>~/.bash_profile</code>, <code>/etc/environment</code>, <code>~/.pam_environment</code>, <code>$PATH</code>, <code>export</code>, <code>PATH</code>, <code>PATH</code>, <code>PATH</code>, <code>PATH</code>, <code>PATH=$PATH:/some/directory</code>, <code>PATH</code>, <code>:/some/directory</code>, <code>.:/some/directory</code>, <code>if [ -z ""${PATH-}"" ]; then export PATH=/usr/local/bin:/usr/bin:/bin; fi
</code>, <code>export</code>, <code>PATH=~/opt/bin:$PATH</code>, <code>export PATH=~/opt/bin:$PATH</code>, <code>/bin/sh</code>, <code>export</code>, <code>~</code>, <code>$PATH</code>, <code>PATH</code>, <code>\[*?</code>, <code>export PATH=~/opt/bin:$PATH</code>, <code>PATH</code>, <code>~/opt/bin/:</code>, <code>PATH</code>, <code>PATH=~/opt/bin:$PATH</code>, <code>export</code>, <code>export PATH=""$HOME/opt/bin:$PATH""</code>, <code>PATH=~/opt/bin:$PATH; export PATH</code>, <code>PATH=$HOME/opt/bin:$PATH; export PATH</code>, <code>export var=value</code>]"
1,https://unix.stackexchange.com/questions/1288/,Preserve bash history in multiple terminal windows,['Add the following to your ~/.bashrc:'],"[<code>~/.bashrc</code>, <code># Avoid duplicates
HISTCONTROL=ignoredups:erasedups
# When the shell exits, append to the history file instead of overwriting it
shopt -s histappend

# After each command, append to the history file and reread it
PROMPT_COMMAND=""${PROMPT_COMMAND:+$PROMPT_COMMAND$'\n'}history -a; history -c; history -r""
</code>]"
2,https://unix.stackexchange.com/questions/73498/,How to cycle through reverse-i-search in BASH?,"['If I understand the question correctly you should be able to cycle through\nalternatives by repeatedly hitting Ctrl+R.', 'E.g.:', 'Ctrl+R\ngrep\nCtrl+R\nCtrl+R\n...', 'That searches backwards through your history.  To search forward instead, use Ctrl+S, but you may need to have set: stty -ixon (either by .bash_profile or manually) prior to that to disable the XON/XOFF feature which takes over Ctrl+s.  (More details here.)']","[<code>grep</code>, <code>stty -ixon</code>, <code>.bash_profile</code>]"
3,https://unix.stackexchange.com/questions/122845/,"Using ""${a:-b}"" for variable assignment in scripts","['This technique allows for a variable to be assigned a value if another variable is either empty or is undefined. NOTE: This ""other variable"" can be the same or another variable.', 'excerpt', 'NOTE: This form also works, ${parameter-word}. If you\'d like to see a full list of all forms of parameter expansion available within Bash then I highly suggest you take a look at this topic in the Bash Hacker\'s wiki titled: ""Parameter expansion"".', 'The same thing can be done by evaluating other variables, or running commands within the default value portion of the notation.', ""You can also use a slightly different notation where it's just VARX=${VARX-<def. value>}."", 'In the above $VAR1 & $VAR2 were already defined with the string ""has another value"" but $VAR3 was undefined, so the default value was used instead, 0.', ""Lastly I'll mention the handy operator, :=. This will do a check and assign a value if the variable under test is empty or undefined."", 'Notice that $VAR1 is now set. The operator := did the test and the assignment in a single operation.', ""However if the value is set prior, then it's left alone."", '\xa0\xa0\xa0\xa0']","[<code>${parameter:-word}
    If parameter is unset or null, the expansion of word is substituted. 
    Otherwise, the value of parameter is substituted.
</code>, <code>${parameter-word}</code>, <code>$ echo ""$VAR1""

$ VAR1=""${VAR1:-default value}""
$ echo ""$VAR1""
default value
</code>, <code>$ VAR1=""has value""
$ echo ""$VAR1""
has value

$ VAR1=""${VAR1:-default value}""
$ echo ""$VAR1""
has value
</code>, <code>$ VAR2=""has another value""
$ echo ""$VAR2""
has another value
$ echo ""$VAR1""

$

$ VAR1=""${VAR1:-$VAR2}""
$ echo ""$VAR1""
has another value
</code>, <code>VARX=${VARX-&lt;def. value&gt;}</code>, <code>$ echo ""${VAR1-0}""
has another value
$ echo ""${VAR2-0}""
has another value
$ echo ""${VAR3-0}""
0
</code>, <code>$VAR1</code>, <code>$VAR2</code>, <code>$VAR3</code>, <code>0</code>, <code>$ VARX=""${VAR3-0}""
$ echo ""$VARX""
0
</code>, <code>:=</code>, <code>:=</code>, <code>$VAR1</code>, <code>:=</code>, <code>$ unset VAR1
$ echo ""$VAR1""

$ echo ""${VAR1:=default}""
default
$ echo ""$VAR1""
default
</code>, <code>$ VAR1=""some value""
$ echo ""${VAR1:=default}""
some value
$ echo ""$VAR1""
some value
</code>]"
4,https://unix.stackexchange.com/questions/20784/,How can I resolve a hostname to an IP address in a Bash script?,"['You can use getent, which comes with glibc (so you almost certainly have it on Linux). This resolves using gethostbyaddr/gethostbyname2, and so also will check /etc/hosts/NIS/etc:', 'Or, as Heinzi said below, you can use dig with the +short argument (queries DNS servers directly, does not look at /etc/hosts/NSS/etc) :', 'If dig +short is unavailable, any one of the following should work. All of these query DNS directly and ignore other means of resolution:', ""If you want to only print one IP, then add the exit command to awk's workflow.""]","[<code>getent</code>, <code>glibc</code>, <code>/etc/hosts</code>, <code>getent hosts unix.stackexchange.com | awk '{ print $1 }'
</code>, <code>dig</code>, <code>+short</code>, <code>/etc/hosts</code>, <code>dig +short unix.stackexchange.com
</code>, <code>dig +short</code>, <code>host unix.stackexchange.com | awk '/has address/ { print $4 }'
nslookup unix.stackexchange.com | awk '/^Address: / { print $2 }'
dig unix.stackexchange.com | awk '/^;; ANSWER SECTION:$/ { getline ; print $5 }'
</code>, <code>exit</code>, <code>awk</code>, <code>dig +short unix.stackexchange.com | awk '{ print ; exit }'
getent hosts unix.stackexchange.com | awk '{ print $1 ; exit }'
host unix.stackexchange.com | awk '/has address/ { print $4 ; exit }'
nslookup unix.stackexchange.com | awk '/^Address: / { print $2 ; exit }'
dig unix.stackexchange.com | awk '/^;; ANSWER SECTION:$/ { getline ; print $5 ; exit }'
</code>]"
5,https://unix.stackexchange.com/questions/52313/,How to get execution time of a script effectively?,['Just use time when you call the script:'],"[<code>time</code>, <code>time yourscript.sh
</code>]"
6,https://unix.stackexchange.com/questions/30925/,"In Bash, when to alias, when to script, and when to write a function?","[""An alias should effectively not (in general) do more than change the default options of a command. It is nothing more than simple text replacement on the command name.  It can't do anything with arguments but pass them to the command it actually runs. So if you simply need to add an argument at the front of a single command, an alias will work.  Common examples are"", ""A function should be used when you need to do something more complex than an alias but that wouldn't be of use on its own.  For example, take this answer on a question I asked about changing grep's default behavior depending on whether it's in a pipeline:"", ""It's a perfect example of a function because it is too complex for an alias (requiring different defaults based on a condition), but it's not something you'll need in a non-interactive script.  "", 'If you get too many functions or functions too big, put them into separate files in a hidden directory, and source them in your ~/.bashrc:', 'A script should stand on its own. It should have value as something that can be re-used, or used for more than one purpose.']","[<code># Make ls output in color by default.
alias ls=""ls --color=auto""
# make mv ask before overwriting a file by default
alias mv=""mv -i""
</code>, <code>grep</code>, <code>grep() { 
    if [[ -t 1 ]]; then 
        command grep -n ""$@""
    else 
        command grep ""$@""
    fi
}
</code>, <code>~/.bashrc</code>, <code>if [ -d ~/.bash_functions ]; then
    for file in ~/.bash_functions/*; do
        . ""$file""
    done
fi
</code>]"
7,https://unix.stackexchange.com/questions/86722/,How do I loop through only directories in bash?,"['If you need to select more specific files than only directories use find and pass it to while read:', 'Use shopt -u dotglob to exclude hidden directories (or setopt dotglob/unsetopt dotglob in zsh).', ""IFS= to avoid splitting filenames containing one of the $IFS, for example: 'a b'"", 'see AsymLabs answer below for more find options', 'edit:\nIn case you need to create an exit value from within the while loop, you can circumvent the extra subshell by this trick:']","[<code>find</code>, <code>while read</code>, <code>shopt -s dotglob
find * -prune -type d | while IFS= read -r d; do 
    echo ""$d""
done
</code>, <code>shopt -u dotglob</code>, <code>setopt dotglob</code>, <code>unsetopt dotglob</code>, <code>IFS=</code>, <code>$IFS</code>, <code>'a b'</code>, <code>find</code>, <code>while IFS= read -r d; do 
    if [ ""$d"" == ""something"" ]; then exit 1; fi
done &lt; &lt;(find * -prune -type d)
</code>]"
8,https://unix.stackexchange.com/questions/131766/,Why does my shell script choke on whitespace or other special characters?,"['If you use $foo unquoted, your script will choke on input or parameters (or command output, with $(foo)) containing whitespace or \\[*?.', 'There, you can stop reading. Well, ok, here are a few more:', ""This answer applies to Bourne/POSIX-style shells (sh, ash, dash, bash, ksh, mksh, yash…). Zsh users should skip it and read the end of When is double-quoting necessary? instead. If you want the whole nitty-gritty, read the standard or your shell's manual."", 'Note that the explanations below contains a few approximations (statements that are true in most conditions but can be affected by the surrounding context or by configuration).', '$foo does not mean “take the value of the variable foo”. It means something much more complex:', 'Note that the result is a list of strings. There are two contexts in shell syntax: list context and string context. Field splitting and filename generation only happen in list context, but that\'s most of the time. Double quotes delimit a string context: the whole double-quoted string is a single string, not to be split. (Exception: ""$@"" to expand to the list of positional parameters, e.g. ""$@"" is equivalent to ""$1"" ""$2"" ""$3"" if there are three positional parameters. See What is the difference between $* and $@?)', ""The same happens to command substitution with $(foo) or with `foo`. On a side note, don't use `foo`: its quoting rules are weird and non-portable, and all modern shells support $(foo) which is absolutely equivalent except for having intuitive quoting rules."", ""The output of arithmetic substitution also undergoes the same expansions, but that isn't normally a concern as it only contains non-expandable characters (assuming IFS doesn't contain digits or -)."", 'See When is double-quoting necessary? for more details about the cases when you can leave out the quotes.', 'Unless you mean for all this rigmarole to happen, just remember to always use double quotes around variable and command substitutions. Do take care: leaving out the quotes can lead not just to errors but to security holes.', 'If you write myfiles=""file1 file2"", with spaces to separate the files, this can\'t work with file names containing spaces. Unix file names can contain any character other than / (which is always a directory separator) and null bytes (which you can\'t use in shell scripts with most shells).', 'Same problem with myfiles=*.txt; … process $myfiles. When you do this, the variable myfiles contains the 5-character string *.txt, and it\'s when you write $myfiles that the wildcard is expanded. This example will actually work, until you change your script to be myfiles=""$someprefix*.txt""; … process $myfiles. If someprefix is set to final report, this won\'t work.', ""To process a list of any kind (such as file names), put it in an array. This requires mksh, ksh93, yash or bash (or zsh, which doesn't have all these quoting issues); a plain POSIX shell (such as ash or dash) doesn't have array variables."", 'Ksh88 has array variables with a different assignment syntax set -A myfiles ""someprefix""*.txt (see assignation variable under different ksh environment if you need ksh88/bash portability). Bourne/POSIX-style shells have a single one array, the array of positional parameters ""$@"" which you set with set and which is local to a function:', 'On a related note, keep in mind that file names can begin with a - (dash/minus), which most commands interpret as denoting an option. Some commands (like sh, set or sort) also accept options that start with +. If you have a file name that begins with a variable part, be sure to pass -- before it, as in the snippet above. This indicates to the command that it has reached the end of options, so anything after that is a file name even if it starts with - or +.', ""Alternatively, you can make sure that your file names begin with a character other than -. Absolute file names begin with /, and you can add ./ at the beginning of relative names. The following snippet turns the content of the variable f into a “safe” way of referring to the same file that's guaranteed not to start with - nor +."", 'On a final note on this topic, beware that some commands interpret - as meaning standard input or standard output, even after --. If you need to refer to an actual file named -, or if you\'re calling such a program and you don\'t want it to read from stdin or write to stdout, make sure to rewrite - as above. See What is the difference between ""du -sh *"" and ""du -sh ./*""? for further discussion.', '“Command” can mean three things: a command name (the name as an executable, with or without full path, or the name of a function, builtin or alias), a command name with arguments, or a piece of shell code. There are accordingly different ways of storing them in a variable.', 'If you have a command name, just store it and use the variable with double quotes as usual.', ""If you have a command with arguments, the problem is the same as with a list of file names above: this is a list of strings, not a string. You can't just stuff the arguments into a single string with spaces in between, because if you do that you can't tell the difference between spaces that are part of arguments and spaces that separate arguments. If your shell has arrays, you can use them."", ""What if you're using a shell without arrays? You can still use the positional parameters, if you don't mind modifying them."", ""What if you need to store a complex shell command, e.g. with redirections, pipes, etc.? Or if you don't want to modify the positional parameters? Then you can build a string containing the command, and use the eval builtin."", 'Note the nested quotes in the definition of code: the single quotes \'…\' delimit a string literal, so that the value of the variable code is the string /path/to/executable --option --message=""hello world"" -- /path/to/file1. The eval builtin tells the shell to parse the string passed as an argument as if it appeared in the script, so at that point the quotes and pipe are parsed, etc.', 'Using eval is tricky. Think carefully about what gets parsed when. In particular, you can\'t just stuff a file name into the code: you need to quote it, just like you would if it was in a source code file. There\'s no direct way to do that. Something like code=""$code $filename"" breaks if the file name contains any shell special character (spaces, $, ;, |, <, >, etc.). code=""$code \\""$filename\\"""" still breaks on ""$\\`. Even code=""$code \'$filename\'"" breaks if the file name contains a \'. There are two solutions.', ""Add a layer of quotes around the file name. The easiest way to do that is to add single quotes around it, and replace single quotes by '\\''."", ""Keep the variable expansion inside the code, so that it's looked up when the code is evaluated, not when the code fragment is built. This is simpler but only works if the variable is still around with the same value at the time the code is executed, not e.g. if the code is built in a loop."", 'Finally, do you really need a variable containing code? The most natural way to give a name to a code block is to define a function.', 'Without -r, read allows continuation lines — this is a single logical line of input:', ""read splits the input line into fields delimited by characters in $IFS (without -r, backslash also escapes those). For example, if the input is a line containing three words, then read first second third sets first to the first word of input, second to the second word and third to the third word. If there are more words, the last variable contains everything that's left after setting the preceding ones. Leading and trailing whitespace are trimmed."", 'Setting IFS to the empty string avoids any trimming. See Why is `while IFS= read` used so often, instead of `IFS=; while read..`? for a longer explanation.', 'The input format of xargs is whitespace-separated strings which can optionally be single- or double-quoted. No standard tool outputs this format.', 'The input to xargs -L1 or xargs -l is almost a list of lines, but not quite —\xa0if there is a space at the end of a line, the following line is a continuation line.', ""You can use xargs -0 where applicable (and where available: GNU (Linux, Cygwin), BusyBox, BSD, OSX, but it isn't in POSIX). That's safe, because null bytes can't appear in most data, in particular in file names. To produce a null-separated list of file names, use find … -print0 (or you can use find … -exec … as explained below)."", ""some_command needs to be an external command, it can't be a shell function or alias. If you need to invoke a shell to process the files, call sh explicitly."", ""Browse the quoting tag on this site, or shell or shell-script. (Click on “learn more…” to see some general tips and a hand-selected list of common questions.) If you've searched and you can't find an answer, ask away.""]","[<code>""$foo""</code>, <code>""$(foo)""</code>, <code>$foo</code>, <code>$(foo)</code>, <code>\[*?</code>, <code>read</code>, <code>read</code>, <code>while IFS= read -r line; do …</code>, <code>read</code>, <code>xargs</code>, <code>xargs</code>, <code>xargs</code>, <code>xargs -0</code>, <code>find … | xargs</code>, <code>find … -exec …</code>, <code>xargs</code>, <code>\""'</code>, <code>sh</code>, <code>ash</code>, <code>dash</code>, <code>bash</code>, <code>ksh</code>, <code>mksh</code>, <code>yash</code>, <code>""$foo""</code>, <code>$foo</code>, <code>foo</code>, <code>foo *  bar ​</code>, <code>foo</code>, <code>*</code>, <code>bar</code>, <code>foo</code>, <code>bar</code>, <code>foo</code>, <code>*</code>, <code>bar</code>, <code>""$@""</code>, <code>""$@""</code>, <code>""$1"" ""$2"" ""$3""</code>, <code>$(foo)</code>, <code>`foo`</code>, <code>`foo`</code>, <code>$(foo)</code>, <code>IFS</code>, <code>-</code>, <code>myfiles=""file1 file2""</code>, <code>/</code>, <code>myfiles=*.txt; … process $myfiles</code>, <code>myfiles</code>, <code>*.txt</code>, <code>$myfiles</code>, <code>myfiles=""$someprefix*.txt""; … process $myfiles</code>, <code>someprefix</code>, <code>final report</code>, <code>myfiles=(""$someprefix""*.txt)
process ""${myfiles[@]}""
</code>, <code>set -A myfiles ""someprefix""*.txt</code>, <code>""$@""</code>, <code>set</code>, <code>set -- ""$someprefix""*.txt
process -- ""$@""
</code>, <code>-</code>, <code>-</code>, <code>sh</code>, <code>set</code>, <code>sort</code>, <code>+</code>, <code>--</code>, <code>-</code>, <code>+</code>, <code>-</code>, <code>/</code>, <code>./</code>, <code>f</code>, <code>-</code>, <code>+</code>, <code>case ""$f"" in -* | +*) ""f=./$f"";; esac
</code>, <code>-</code>, <code>--</code>, <code>-</code>, <code>-</code>, <code>command_path=""$1""
…
""$command_path"" --option --message=""hello world""
</code>, <code>cmd=(/path/to/executable --option --message=""hello world"" --)
cmd=(""${cmd[@]}"" ""$file1"" ""$file2"")
""${cmd[@]}""
</code>, <code>set -- /path/to/executable --option --message=""hello world"" --
set -- ""$@"" ""$file1"" ""$file2""
""$@""
</code>, <code>eval</code>, <code>code='/path/to/executable --option --message=""hello world"" -- /path/to/file1 | grep ""interesting stuff""'
eval ""$code""
</code>, <code>code</code>, <code>'…'</code>, <code>code</code>, <code>/path/to/executable --option --message=""hello world"" -- /path/to/file1</code>, <code>eval</code>, <code>eval</code>, <code>code=""$code $filename""</code>, <code>$</code>, <code>;</code>, <code>|</code>, <code>&lt;</code>, <code>&gt;</code>, <code>code=""$code \""$filename\""""</code>, <code>""$\`</code>, <code>code=""$code '$filename'""</code>, <code>'</code>, <code>'\''</code>, <code>quoted_filename=$(printf %s. ""$filename"" | sed ""s/'/'\\\\''/g"")
code=""$code '${quoted_filename%.}'""
</code>, <code>code=""$code \""\$filename\""""
</code>, <code>read</code>, <code>-r</code>, <code>read</code>, <code>hello \
world
</code>, <code>read</code>, <code>$IFS</code>, <code>-r</code>, <code>read first second third</code>, <code>first</code>, <code>second</code>, <code>third</code>, <code>IFS</code>, <code>xargs</code>, <code>xargs</code>, <code>xargs -L1</code>, <code>xargs -l</code>, <code>xargs -0</code>, <code>find … -print0</code>, <code>find … -exec …</code>, <code>find</code>, <code>find … -exec some_command a_parameter another_parameter {} +
</code>, <code>some_command</code>, <code>sh</code>, <code>find … -exec sh -c '
  for x do
    … # process the file ""$x""
  done
' find-sh {} +
</code>]"
9,https://unix.stackexchange.com/questions/16640/,How can I get the size of a file in a bash script?,"['Your best bet if on a GNU system:', 'From man stat:', '%s total size, in bytes', 'In a bash script : ', ""NOTE: see @chbrown's answer for how to use stat in terminal on Mac OS X.""]","[<code>stat --printf=""%s"" file.any
</code>, <code>#!/bin/bash
FILENAME=/home/heiko/dummy/packages.txt
FILESIZE=$(stat -c%s ""$FILENAME"")
echo ""Size of $FILENAME = $FILESIZE bytes.""
</code>]"
