Title,Id,Tags,Score,Body
"How to get the source directory of a Bash script from within the script itself?","59895","<bash><directory>","5229","<pre><code>#!/bin/bash

DIR=&quot;$( cd &quot;$( dirname &quot;${BASH_SOURCE[0]}&quot; )&quot; &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )&quot;
</code></pre>
<p>is a useful one-liner which will give you the full directory name of the script no matter where it is being called from.</p>
<p>It will work as long as the last component of the path used to find the script is not a symlink (directory links are OK).  If you also want to resolve any links to the script itself, you need a multi-line solution:</p>
<pre><code>#!/bin/bash

SOURCE=&quot;${BASH_SOURCE[0]}&quot;
while [ -h &quot;$SOURCE&quot; ]; do # resolve $SOURCE until the file is no longer a symlink
  DIR=&quot;$( cd -P &quot;$( dirname &quot;$SOURCE&quot; )&quot; &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )&quot;
  SOURCE=&quot;$(readlink &quot;$SOURCE&quot;)&quot;
  [[ $SOURCE != /* ]] &amp;&amp; SOURCE=&quot;$DIR/$SOURCE&quot; # if $SOURCE was a relative symlink, we need to resolve it relative to the path where the symlink file was located
done
DIR=&quot;$( cd -P &quot;$( dirname &quot;$SOURCE&quot; )&quot; &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )&quot;
</code></pre>
<p>This last one will work with any combination of aliases, <code>source</code>, <code>bash -c</code>, symlinks, etc.</p>
<p><strong>Beware:</strong> if you <code>cd</code> to a different directory before running this snippet, the result may be incorrect!</p>
<p>Also, watch out for <a href=""http://bosker.wordpress.com/2012/02/12/bash-scripters-beware-of-the-cdpath/"" rel=""noreferrer""><code>$CDPATH</code> gotchas</a>, and stderr output side effects if the user has smartly overridden cd to redirect output to stderr instead (including escape sequences, such as when calling <code>update_terminal_cwd &gt;&amp;2</code> on Mac). Adding <code>&gt;/dev/null 2&gt;&amp;1</code> at the end of your <code>cd</code> command will take care of both possibilities.</p>
<p>To understand how it works, try running this more verbose form:</p>
<pre><code>#!/bin/bash

SOURCE=&quot;${BASH_SOURCE[0]}&quot;
while [ -h &quot;$SOURCE&quot; ]; do # resolve $SOURCE until the file is no longer a symlink
  TARGET=&quot;$(readlink &quot;$SOURCE&quot;)&quot;
  if [[ $TARGET == /* ]]; then
    echo &quot;SOURCE '$SOURCE' is an absolute symlink to '$TARGET'&quot;
    SOURCE=&quot;$TARGET&quot;
  else
    DIR=&quot;$( dirname &quot;$SOURCE&quot; )&quot;
    echo &quot;SOURCE '$SOURCE' is a relative symlink to '$TARGET' (relative to '$DIR')&quot;
    SOURCE=&quot;$DIR/$TARGET&quot; # if $SOURCE was a relative symlink, we need to resolve it relative to the path where the symlink file was located
  fi
done
echo &quot;SOURCE is '$SOURCE'&quot;
RDIR=&quot;$( dirname &quot;$SOURCE&quot; )&quot;
DIR=&quot;$( cd -P &quot;$( dirname &quot;$SOURCE&quot; )&quot; &gt;/dev/null 2&gt;&amp;1 &amp;&amp; pwd )&quot;
if [ &quot;$DIR&quot; != &quot;$RDIR&quot; ]; then
  echo &quot;DIR '$RDIR' resolves to '$DIR'&quot;
fi
echo &quot;DIR is '$DIR'&quot;
</code></pre>
<p>And it will print something like:</p>
<pre class=""lang-none prettyprint-override""><code>SOURCE './scriptdir.sh' is a relative symlink to 'sym2/scriptdir.sh' (relative to '.')
SOURCE is './sym2/scriptdir.sh'
DIR './sym2' resolves to '/home/ubuntu/dotfiles/fo fo/real/real1/real2'
DIR is '/home/ubuntu/dotfiles/fo fo/real/real1/real2'
</code></pre>
"
"How can I check if a directory exists in a Bash shell script?","59838","<bash><shell><unix><posix>","3870","<p>To check if a directory exists in a shell script, you can use the following:</p>

<pre><code>if [ -d ""$DIRECTORY"" ]; then
  # Control will enter here if $DIRECTORY exists.
fi
</code></pre>

<p>Or to check if a directory doesn't exist:</p>

<pre><code>if [ ! -d ""$DIRECTORY"" ]; then
  # Control will enter here if $DIRECTORY doesn't exist.
fi
</code></pre>

<hr>

<p>However, as <a href=""https://stackoverflow.com/users/1438/jon-ericson"">Jon Ericson</a> points out, subsequent commands may not work as intended if you do not take into account that a symbolic link to a directory will also pass this check.
E.g. running this:</p>

<pre><code>ln -s ""$ACTUAL_DIR"" ""$SYMLINK""
if [ -d ""$SYMLINK"" ]; then 
  rmdir ""$SYMLINK"" 
fi
</code></pre>

<p>Will produce the error message:</p>

<pre class=""lang-none prettyprint-override""><code>rmdir: failed to remove `symlink': Not a directory
</code></pre>

<p>So symbolic links may have to be treated differently, if subsequent commands expect directories:</p>

<pre><code>if [ -d ""$LINK_OR_DIR"" ]; then 
  if [ -L ""$LINK_OR_DIR"" ]; then
    # It is a symlink!
    # Symbolic link specific commands go here.
    rm ""$LINK_OR_DIR""
  else
    # It's a directory!
    # Directory command goes here.
    rmdir ""$LINK_OR_DIR""
  fi
fi
</code></pre>

<hr>

<p>Take particular note of the double-quotes used to wrap the variables. The reason for this is explained by 8jean <a href=""https://stackoverflow.com/a/67458/102401"">in another answer</a>.</p>

<p>If the variables contain spaces or other unusual characters it will probably cause the script to fail.</p>
"
"How do I tell if a regular file does not exist in Bash?","638975","<bash><file-io><scripting>","3421","<p>The <a href=""http://man7.org/linux/man-pages/man1/test.1.html"" rel=""noreferrer"">test</a> command (<code>[</code> here) has a ""not"" logical operator which is the exclamation point (similar to many other languages). Try this:</p>

<pre><code>if [ ! -f /tmp/foo.txt ]; then
    echo ""File not found!""
fi
</code></pre>
"
"How to concatenate string variables in Bash","4181703","<bash><shell><syntax><concat><string-concatenation>","2958","<pre><code>foo=""Hello""
foo=""${foo} World""
echo ""${foo}""
&gt; Hello World
</code></pre>

<p>In general to concatenate two variables you can just write them one after another:</p>

<pre><code>a='Hello'
b='World'
c=""${a} ${b}""
echo ""${c}""
&gt; Hello World
</code></pre>
"
"How to check if a string contains a substring in Bash","229551","<string><bash><shell><substring><sh>","2773","<p>You can use <a href=""https://stackoverflow.com/a/229585/3755692"">Marcus's answer (* wildcards)</a> outside a case statement, too, if you use double brackets:</p>

<pre><code>string='My long string'
if [[ $string == *""My long""* ]]; then
  echo ""It's there!""
fi
</code></pre>

<p>Note that spaces in the needle string need to be placed between double quotes, and the <code>*</code> wildcards should be outside. Also note that a simple comparison operator is used (i.e. <code>==</code>), not the regex operator <code>=~</code>.</p>
"
"Echo newline in Bash prints literal \n","8467424","<bash><echo><newline>","2632","<p>You could use <code>printf</code> instead:</p>

<pre><code>printf ""hello\nworld\n""
</code></pre>

<p><code>printf</code> has more consistent behavior than <code>echo</code>. The behavior of <code>echo</code> varies greatly between different versions.</p>
"
"In the shell, what does "" 2>&1 "" mean?","818255","<bash><shell><unix><redirect>","2441","<p>File descriptor 1 is the standard output (<code>stdout</code>).<br>
File descriptor 2 is the standard error (<code>stderr</code>).</p>
<p>Here is one way to remember this construct (although it is not entirely accurate): at first, <code>2&gt;1</code> may look like a good way to redirect <code>stderr</code> to <code>stdout</code>. However, it will actually be interpreted as &quot;redirect <code>stderr</code> to a file named <code>1</code>&quot;. <code>&amp;</code> indicates that what follows and precedes is a file descriptor and not a filename. So the construct becomes: <code>2&gt;&amp;1</code>.</p>
<p>Consider <code>&gt;&amp;</code> as redirect merger operator.</p>
"
"How can I check if a program exists from a Bash script?","592620","<bash>","2383","<h2>Answer</h2>
<p>POSIX compatible:</p>
<pre><code>command -v &lt;the_command&gt;
</code></pre>
<p>Example use:</p>
<pre><code>if ! command -v COMMAND &amp;&gt; /dev/null
then
    echo &quot;COMMAND could not be found&quot;
    exit
fi
</code></pre>
<p>For Bash specific environments:</p>
<pre><code>hash &lt;the_command&gt; # For regular commands. Or...
type &lt;the_command&gt; # To check built-ins and keywords
</code></pre>
<h2>Explanation</h2>
<p>Avoid <code>which</code>. Not only is it an external process you're launching for doing very little (meaning builtins like <code>hash</code>, <code>type</code> or <code>command</code> are way cheaper), you can also rely on the builtins to actually do what you want, while the effects of external commands can easily vary from system to system.</p>
<p>Why care?</p>
<ul>
<li>Many operating systems have a <code>which</code> that <strong>doesn't even set an exit status</strong>, meaning the <code>if which foo</code> won't even work there and will <strong>always</strong> report that <code>foo</code> exists, even if it doesn't (note that some POSIX shells appear to do this for <code>hash</code> too).</li>
<li>Many operating systems make <code>which</code> do custom and evil stuff like change the output or even hook into the package manager.</li>
</ul>
<p>So, don't use <code>which</code>. Instead use one of these:</p>
<pre><code>$ command -v foo &gt;/dev/null 2&gt;&amp;1 || { echo &gt;&amp;2 &quot;I require foo but it's not installed.  Aborting.&quot;; exit 1; }
$ type foo &gt;/dev/null 2&gt;&amp;1 || { echo &gt;&amp;2 &quot;I require foo but it's not installed.  Aborting.&quot;; exit 1; }
$ hash foo 2&gt;/dev/null || { echo &gt;&amp;2 &quot;I require foo but it's not installed.  Aborting.&quot;; exit 1; }
</code></pre>
<p>(Minor side-note: some will suggest <code>2&gt;&amp;-</code> is the same <code>2&gt;/dev/null</code> but shorter – <em>this is untrue</em>.  <code>2&gt;&amp;-</code> closes FD 2 which causes an <strong>error</strong> in the program when it tries to write to stderr, which is very different from successfully writing to it and discarding the output (and dangerous!))</p>
<p>If your hash bang is <code>/bin/sh</code> then you should care about what POSIX says. <code>type</code> and <code>hash</code>'s exit codes aren't terribly well defined by POSIX, and <code>hash</code> is seen to exit successfully when the command doesn't exist (haven't seen this with <code>type</code> yet).  <code>command</code>'s exit status is well defined by POSIX, so that one is probably the safest to use.</p>
<p>If your script uses <code>bash</code> though, POSIX rules don't really matter anymore and both <code>type</code> and <code>hash</code> become perfectly safe to use. <code>type</code> now has a <code>-P</code> to search just the <code>PATH</code> and <code>hash</code> has the side-effect that the command's location will be hashed (for faster lookup next time you use it), which is usually a good thing since you probably check for its existence in order to actually use it.</p>
<p>As a simple example, here's a function that runs <code>gdate</code> if it exists, otherwise <code>date</code>:</p>
<pre><code>gnudate() {
    if hash gdate 2&gt;/dev/null; then
        gdate &quot;$@&quot;
    else
        date &quot;$@&quot;
    fi
}
</code></pre>
<h1>Alternative with a complete feature set</h1>
<p>You can use <a href=""https://gitlab.com/bertrand-benoit/scripts-common"" rel=""noreferrer"">scripts-common</a> to reach your need.</p>
<p>To check if something is installed, you can do:</p>
<pre class=""lang-sh prettyprint-override""><code>checkBin &lt;the_command&gt; || errorMessage &quot;This tool requires &lt;the_command&gt;. Install it please, and then run this tool again.&quot;
</code></pre>
"
"Extract filename and extension in Bash","965053","<bash><string><filenames>","2251","<p>First, get file name without the path:</p>

<pre><code>filename=$(basename -- ""$fullfile"")
extension=""${filename##*.}""
filename=""${filename%.*}""
</code></pre>

<p>Alternatively, you can focus on the last '/' of the path instead of the '.' which should work even if you have unpredictable file extensions:</p>

<pre><code>filename=""${fullfile##*/}""
</code></pre>

<p>You may want to check the documentation :</p>

<ul>
<li>On the web at section ""<a href=""http://www.gnu.org/software/bash/manual/html_node/Shell-Parameter-Expansion.html"" rel=""noreferrer"">3.5.3 Shell Parameter Expansion</a>""</li>
<li>In the bash manpage at section called ""Parameter Expansion""</li>
</ul>
"
"How do I split a string on a delimiter in Bash?","918886","<bash><shell><split><scripting>","2207","<p>You can set the <a href=""http://en.wikipedia.org/wiki/Internal_field_separator"" rel=""noreferrer"">internal field separator</a> (IFS) variable, and then let it parse into an array. When this happens in a command, then the assignment to <code>IFS</code> only takes place to that single command's environment (to <code>read</code> ). It then parses the input according to the <code>IFS</code> variable value into an array, which we can then iterate over.</p>

<pre><code>IFS=';' read -ra ADDR &lt;&lt;&lt; ""$IN""
for i in ""${ADDR[@]}""; do
    # process ""$i""
done
</code></pre>

<p>It will parse one line of items separated by <code>;</code>, pushing it into an array. Stuff for processing whole of <code>$IN</code>, each time one line of input separated by <code>;</code>:</p>

<pre><code> while IFS=';' read -ra ADDR; do
      for i in ""${ADDR[@]}""; do
          # process ""$i""
      done
 done &lt;&lt;&lt; ""$IN""
</code></pre>
"
