Post,Title,Oneliner
http://www.bashoneliners.com/oneliners/70/, Print the lines of file2 that are missing in file1, comm -23 file2 file1
https://www.commandlinefu.com/commands/view/42/display-which-distro-is-installed, Display which distro is installed, cat /etc/issue
https://www.commandlinefu.com/commands/view/1295/quickly-rename-a-file, quickly rename a file, mv filename.{old,new}
https://stackoverflow.com/questions/1529946/, Linux: copy and create destination dir if it does not exist, mkdir -p "$d" && cp file "$d"
https://stackoverflow.com/questions/3137094/, How to count lines in a document?, wc -l <filename>
https://superuser.com/questions/482435/, How to remove all files starting with a certain string in Linux, find  . -name 'name*' -exec rm {} \;
https://stackoverflow.com/questions/4997693/, Given two directory trees, how can I find out which files differ by content?, diff --brief --recursive dir1/ dir2/
https://unix.stackexchange.com/questions/144208/, find files without extension, find . -type f ! -name "*.*"
https://superuser.com/questions/392872/, Delete files with regular expression, ls | grep -P "^A.*[0-9]{2}$" | xargs -d"\n" rm
http://www.bashoneliners.com/oneliners/193/, Find all files recursively with specified string in the filename and output any lines found containing a different string., find . -name *conf* -exec grep -Hni 'matching_text' {} \; > matching_text.conf.list
https://www.commandlinefu.com/commands/view/1798/quick-access-to-the-ascii-table., Quick access to the ascii table., man ascii
https://unix.stackexchange.com/questions/93323/, List subdirectories only n level deep, find /usr/share/festival/lib/voices -maxdepth 2 -mindepth 2 -type d -exec basename {} \;
https://www.commandlinefu.com/commands/view/353/extract-tarball-from-internet-without-local-saving, Extract tarball from internet without local saving," wget -qO - ""http://www.tarball.com/tarball.gz"" | tar zxvf -"
https://superuser.com/questions/633605/, How to create symbolic links to all files (class of files) in a directory?, ln -s ../source/*.bar .
http://www.bashoneliners.com/oneliners/61/, Recursively remove all empty sub-directories from a directory tree, find . -depth  -type d  -empty -exec rmdir {} \;
https://www.commandlinefu.com/commands/view/6652, Remove all but one specific file, 
rm -f !(survivior.txt)
