server_time_stamp,client_time_stamp,user_id,task_order,task_code,treatment,time_elapsed,time_elapsed_task_set,status,command
2022-04-07T22:09:47Z,2022-04-07T22:09:46Z,PL1,T2N1,v,T,0,,incomplete,start_task
2022-04-07T22:09:47Z,2022-04-07T22:09:47Z,PL1,T2N1,v,T,1,1649369387,incomplete,start_task
2022-04-07T22:09:59Z,2022-04-07T22:09:59Z,PL1,T2N1,v,T,13,1649369399,incomplete,aaaaa
2022-04-07T22:10:29Z,2022-04-07T22:10:28Z,PL1,T2N1,v,T,42,1649369428,incomplete,asdasdkhsd
2022-04-07T22:10:38Z,2022-04-07T22:10:38Z,PL1,T2N1,v,T,52,1649369438,incomplete,asdasd
2022-04-07T22:10:58Z,2022-04-07T22:10:58Z,PL1,T2N1,v,T,72,1649369458,success,mv README.md README.txt
2022-04-07T22:10:58Z,2022-04-07T22:10:58Z,PL1,T2N1,w,T,0,1649369458,incomplete,start_task
2022-04-07T22:11:13Z,2022-04-07T22:11:13Z,PL1,T2N1,w,T,14,1649369472,success,cat ./css/app.css
2022-04-07T22:11:13Z,2022-04-07T22:11:13Z,PL1,T2N1,x,T,0,1649369472,incomplete,start_task
2022-04-07T22:11:30Z,2022-04-07T22:11:30Z,PL1,T2N1,x,T,17,1649369490,incomplete,rm -r *glyph*
2022-04-07T22:11:54Z,2022-04-07T22:11:54Z,PL1,T2N1,x,T,41,1649369514,incomplete,"rm -r ""./*glyph*"""
2022-04-07T22:13:12Z,2022-04-07T22:13:12Z,PL1,T2N1,x,T,118,1649369591,incomplete,"rm ""*glyph*"""
2022-04-07T22:13:29Z,2022-04-07T22:13:28Z,PL1,T2N1,x,T,135,1649369608,incomplete,rm *glyph*
2022-04-07T22:15:03Z,2022-04-07T22:15:03Z,PL1,T2N1,x,T,230,1649369703,incomplete,rm -r *glyph*
2022-04-07T22:15:25Z,2022-04-07T22:15:25Z,PL1,T2N1,x,T,251,1649369724,incomplete,rm -r *'glyph'*
2022-04-07T22:16:24Z,2022-04-07T22:16:24Z,PL1,T2N1,x,T,310,1649369783,incomplete,rm -r *
2022-04-07T22:16:40Z,2022-04-07T22:16:40Z,PL1,T2N1,x,T,327,1649369800,incomplete,rm -r **/*glyph*
2022-04-07T22:17:03Z,2022-04-07T22:17:03Z,PL1,T2N1,x,T,350,1649369823,incomplete,rm -r **/*glyph*.*
2022-04-07T22:17:16Z,2022-04-07T22:17:16Z,PL1,T2N1,x,T,363,1649369836,incomplete,rm -r **/.*glyph.*
2022-04-07T22:17:30Z,2022-04-07T22:17:30Z,PL1,T2N1,x,T,377,1649369850,incomplete,ls *glyph*
2022-04-07T22:18:18Z,2022-04-07T22:18:18Z,PL1,T2N1,x,T,425,1649369898,incomplete,man rm
2022-04-07T22:18:31Z,2022-04-07T22:18:31Z,PL1,T2N1,x,T,438,1649369911,incomplete,rm . glyph
2022-04-07T22:18:51Z,2022-04-07T22:18:50Z,PL1,T2N1,x,T,457,1649369930,incomplete,rm ./.*glyph.*
2022-04-07T22:19:29Z,2022-04-07T22:19:29Z,PL1,T2N1,x,T,496,1649369969,incomplete,rm ./.*glyph.*..*
2022-04-07T22:20:41Z,2022-04-07T22:20:41Z,PL1,T2N1,x,T,568,1649370041,incomplete,help expand
2022-04-07T22:22:30Z,2022-04-07T22:22:29Z,PL1,T2N1,x,T,676,1649370149,incomplete,find . -name '*glyph*' | rm
2022-04-07T22:22:47Z,2022-04-07T22:22:46Z,PL1,T2N1,x,T,693,1649370166,incomplete,find . -name '*glyph*' -exec rm
2022-04-07T22:23:05Z,2022-04-07T22:23:04Z,PL1,T2N1,x,T,711,1649370184,incomplete,man rm
2022-04-07T22:23:43Z,2022-04-07T22:23:43Z,PL1,T2N1,x,T,750,1649370223,incomplete,man find
2022-04-07T22:23:59Z,2022-04-07T22:23:59Z,PL1,T2N1,x,T,766,1649370239,incomplete,man xargs
2022-04-07T22:24:07Z,2022-04-07T22:24:07Z,PL1,T2N1,x,T,774,1649370247,success,find . -name '*glyph*' | xargs rm
2022-04-07T22:27:51Z,2022-04-07T22:27:51Z,PL1,T2N1,y,T,0,1649370247,incomplete,start_task
2022-04-07T22:28:29Z,2022-04-07T22:28:29Z,PL1,T2N1,y,T,38,1649370509,incomplete,Copy './content/tips.md' in new directory './content/backup/'
2022-04-07T22:29:19Z,2022-04-07T22:29:19Z,PL1,T2N1,y,T,88,1649370559,incomplete, cp ./content/tips.md ./content/backup/ 
2022-04-07T22:30:16Z,2022-04-07T22:30:16Z,PL1,T2N1,y,T,145,1649370616,incomplete, cp -f ./content/tips.md ./content/backup/ 
2022-04-07T22:33:21Z,2022-04-07T22:33:20Z,PL1,T2N1,y,T,329,1649370800,incomplete,man mkdir
2022-04-07T22:34:23Z,2022-04-07T22:34:23Z,PL1,T2N1,y,T,392,1649370863,incomplete,man  cp
2022-04-07T22:34:31Z,2022-04-07T22:34:30Z,PL1,T2N1,y,T,399,1649370870,incomplete,mkdir
2022-04-07T22:34:52Z,2022-04-07T22:34:52Z,PL1,T2N1,y,T,421,1649370892,incomplete,man mkdir
2022-04-07T22:36:31Z,2022-04-07T22:36:30Z,PL1,T2N1,y,T,519,1649370990,incomplete,man cp
2022-04-07T22:37:04Z,2022-04-07T22:37:04Z,PL1,T2N1,y,T,553,1649371024,success,mkdir './content/backup/'
2022-04-07T22:37:05Z,2022-04-07T22:37:04Z,PL1,T2N1,z,T,0,1649371024,incomplete,start_task
2022-04-07T22:37:47Z,2022-04-07T22:37:46Z,PL1,T2N1,z,T,42,1649371066,success,cat './content/syllabus.md' | wc -l
2022-04-07T22:37:59Z,2022-04-07T22:37:58Z,PL1,T2N1,g,T,0,1649371066,incomplete,start_task
2022-04-07T22:38:46Z,2022-04-07T22:38:46Z,PL1,T2N1,g,T,48,48,incomplete,start_task
2022-04-07T22:38:47Z,2022-04-07T22:38:47Z,PL1,T2N1,g,T,49,49,incomplete,"find . -type f ! -name ""*.markdown"" -exec ls -l -d {} \;"
2022-04-07T22:39:09Z,2022-04-07T22:39:09Z,PL1,T2N1,g,T,71,71,incomplete,"find . -type f ! -name ""*.markdown"" -exec ls -l -d {} \;"
2022-04-07T22:39:10Z,2022-04-07T22:39:10Z,PL1,T2N1,g,T,72,72,incomplete,"find . -type f ! -name ""*.markdown"" -exec ls -l -d {} \;"
2022-04-07T22:39:46Z,2022-04-07T22:39:46Z,PL1,T2N1,g,T,107,107,incomplete,"find . -type f ! -name ""*.markdown"" -exec ls -r {} \;"
2022-04-07T22:40:35Z,2022-04-07T22:40:35Z,PL1,T2N1,g,T,156,156,incomplete,"find . ! -name ""*.md"" -exec ls -r {} \;"
2022-04-07T22:41:01Z,2022-04-07T22:41:01Z,PL1,T2N1,g,T,183,183,success,"find . -type f ! -name ""*.md"" -exec ls {} \;"
2022-04-07T22:41:01Z,2022-04-07T22:41:01Z,PL1,T2N1,h,T,0,183,incomplete,start_task
2022-04-07T22:41:45Z,2022-04-07T22:41:44Z,PL1,T2N1,h,T,43,226,incomplete,find . -type f -name '*.md' -exec rm {} \;
2022-04-07T22:42:18Z,2022-04-07T22:42:18Z,PL1,T2N1,h,T,77,260,incomplete,find . -type f -name '*.md' -exec rm -f {} \;
2022-04-07T22:43:03Z,2022-04-07T22:43:02Z,PL1,T2N1,h,T,121,304,success,find . -type f -name '[0-9]*.md' -exec rm -f {} \;
2022-04-07T22:43:03Z,2022-04-07T22:43:03Z,PL1,T2N1,i,T,0,304,incomplete,start_task
2022-04-07T22:43:53Z,2022-04-07T22:43:52Z,PL1,T2N1,i,T,49,354,incomplete,diff -r ./content/labs/ ./content/lessons
2022-04-07T22:44:22Z,2022-04-07T22:44:22Z,PL1,T2N1,i,T,79,384,incomplete,diff ./content/labs/ ./content/lessons
2022-04-07T22:44:47Z,2022-04-07T22:44:47Z,PL1,T2N1,i,T,104,409,incomplete,diff -rq ./content/labs/ ./content/lessons
2022-04-07T22:45:03Z,2022-04-07T22:45:02Z,PL1,T2N1,i,T,119,424,success,diff -rq ./content/labs/ ./content/lessons/
2022-04-07T22:45:03Z,2022-04-07T22:45:03Z,PL1,T2N1,j,T,0,424,incomplete,start_task
2022-04-07T22:45:38Z,2022-04-07T22:45:38Z,PL1,T2N1,j,T,35,460,incomplete,start_task
2022-04-07T22:45:38Z,2022-04-07T22:45:38Z,PL1,T2N1,j,T,35,460,incomplete,find . -size  10k -exec ls -l {} \;
2022-04-07T22:45:58Z,2022-04-07T22:45:58Z,PL1,T2N1,j,T,55,480,success,find . -size  10k -exec ls {} \;
2022-04-07T22:45:58Z,2022-04-07T22:45:58Z,PL1,T2N1,k,T,0,480,incomplete,start_task
2022-04-07T22:47:38Z,2022-04-07T22:47:38Z,PL1,T2N1,k,T,100,580,incomplete,man grep
2022-04-07T22:47:55Z,2022-04-07T22:47:55Z,PL1,T2N1,k,T,117,597,incomplete,man grep
