server_time_stamp,client_time_stamp,user_id,task_order,task_code,treatment,time_elapsed,time_elapsed_task_set,status,command
2022-05-21T19:30:36Z,2022-05-21T19:30:36Z,P1,T2N1,v,T,0,,incomplete,start_task
2022-05-21T19:30:36Z,2022-05-21T19:30:36Z,P1,T2N1,v,T,0,1653161436,incomplete,start_task
2022-05-21T19:31:13Z,2022-05-21T19:31:12Z,P1,T2N1,v,T,36,1653161472,incomplete,man rename
2022-05-21T19:31:43Z,2022-05-21T19:31:43Z,P1,T2N1,v,T,67,1653161503,incomplete,rename README.md README.txt
2022-05-21T19:31:52Z,2022-05-21T19:31:52Z,P1,T2N1,v,T,76,1653161512,success,rename README.md README.txt README.md 
2022-05-21T19:31:52Z,2022-05-21T19:31:52Z,P1,T2N1,w,T,0,1653161512,incomplete,start_task
2022-05-21T19:32:06Z,2022-05-21T19:32:06Z,P1,T2N1,w,T,14,1653161526,success,cat ./css/app.css
2022-05-21T19:32:07Z,2022-05-21T19:32:07Z,P1,T2N1,x,T,0,1653161526,incomplete,start_task
2022-05-21T19:33:09Z,2022-05-21T19:33:09Z,P1,T2N1,x,T,63,1653161589,incomplete,rm -rf glyph*
2022-05-21T19:34:34Z,2022-05-21T19:34:34Z,P1,T2N1,x,T,148,1653161674,success,find . -depth -path '*glyph*' -delete
2022-05-21T19:37:28Z,2022-05-21T19:37:28Z,P1,T2N1,y,T,0,1653161674,incomplete,start_task
2022-05-21T19:38:16Z,2022-05-21T19:38:16Z,P1,T2N1,y,T,48,1653161896,incomplete,cp ./content/tips/md ./content/backup
2022-05-21T19:38:32Z,2022-05-21T19:38:32Z,P1,T2N1,y,T,64,1653161912,incomplete,cp ./content/tips.md ./content/backup
2022-05-21T19:38:49Z,2022-05-21T19:38:49Z,P1,T2N1,y,T,81,1653161929,incomplete,ls
2022-05-21T19:38:56Z,2022-05-21T19:38:56Z,P1,T2N1,y,T,88,1653161936,incomplete,ls content
2022-05-21T19:39:52Z,2022-05-21T19:39:52Z,P1,T2N1,y,T,144,1653161992,incomplete,find . -exec cp ./content/tips.md ./content/backup/ \;
2022-05-21T19:40:52Z,2022-05-21T19:40:52Z,P1,T2N1,y,T,204,1653162052,incomplete,cp -R ./content/tips.md ./content/backup/
2022-05-21T19:41:16Z,2022-05-21T19:41:16Z,P1,T2N1,y,T,228,1653162076,incomplete,cp ./content/tips.md ./content/backup/
2022-05-21T19:41:25Z,2022-05-21T19:41:25Z,P1,T2N1,y,T,237,1653162085,incomplete,ls
2022-05-21T19:41:27Z,2022-05-21T19:41:27Z,P1,T2N1,y,T,238,1653162086,incomplete,cd content
2022-05-21T19:41:27Z,2022-05-21T19:41:27Z,P1,T2N1,y,T,239,1653162087,incomplete,ls
2022-05-21T19:41:34Z,2022-05-21T19:41:34Z,P1,T2N1,y,T,246,1653162094,incomplete,ls content/backup
2022-05-21T19:43:26Z,2022-05-21T19:43:26Z,P1,T2N1,y,T,358,1653162206,incomplete,mkdir ./content/backup/ | cp ./content/tips/md ./content/backup/
2022-05-21T19:43:37Z,2022-05-21T19:43:36Z,P1,T2N1,y,T,368,1653162216,success,mkdir ./content/backup/ | cp ./content/tips.md ./content/backup/
2022-05-21T19:43:37Z,2022-05-21T19:43:37Z,P1,T2N1,z,T,0,1653162216,incomplete,start_task
2022-05-21T19:44:03Z,2022-05-21T19:44:03Z,P1,T2N1,z,T,26,1653162243,incomplete,start_task
2022-05-21T19:44:25Z,2022-05-21T19:44:25Z,P1,T2N1,z,T,48,1653162265,incomplete,start_task
2022-05-21T19:44:41Z,2022-05-21T19:44:41Z,P1,T2N1,z,T,64,1653162281,incomplete,wc -l < cat ./content/syllabus.md 
2022-05-21T19:45:10Z,2022-05-21T19:45:09Z,P1,T2N1,z,T,92,1653162309,incomplete,wc -l ./content/syllabus.md 
2022-05-21T19:45:40Z,2022-05-21T19:45:40Z,P1,T2N1,z,T,123,1653162340,success,wc -l < ./content/syllabus.md 
2022-05-21T19:46:04Z,2022-05-21T19:46:03Z,P1,T2N1,g,T,0,1653162340,incomplete,start_task
2022-05-21T19:47:16Z,2022-05-21T19:47:16Z,P1,T2N1,g,T,73,73,incomplete,find . ! -name "*.md"
2022-05-21T19:47:58Z,2022-05-21T19:47:58Z,P1,T2N1,g,T,115,115,incomplete,find . ! -type f -name "*.md"
2022-05-21T19:48:23Z,2022-05-21T19:48:22Z,P1,T2N1,g,T,139,139,success,find . -type f ! -name "*.md"
2022-05-21T19:48:23Z,2022-05-21T19:48:23Z,P1,T2N1,h,T,0,139,incomplete,start_task
2022-05-21T19:51:56Z,2022-05-21T19:51:56Z,P1,T2N1,h,T,213,353,incomplete,find . -type f -name "[0-9]*.md" exec rm {} \;
2022-05-21T19:52:27Z,2022-05-21T19:52:27Z,P1,T2N1,h,T,244,384,incomplete,find . -type f -name "[0-9]*.md" exec rm -r -f {} \;
2022-05-21T19:53:14Z,2022-05-21T19:53:14Z,P1,T2N1,h,T,291,431,success,find -type f -name '[0-9]*.md' -delete
2022-05-21T19:53:14Z,2022-05-21T19:53:14Z,P1,T2N1,i,T,0,431,incomplete,start_task
2022-05-21T19:54:34Z,2022-05-21T19:54:34Z,P1,T2N1,i,T,79,510,incomplete,diff -q ./content/labs/ ./content/lessons/
2022-05-21T19:55:00Z,2022-05-21T19:55:00Z,P1,T2N1,i,T,105,536,incomplete,diff ./content/labs/ ./content/lessons/
2022-05-21T19:55:51Z,2022-05-21T19:55:51Z,P1,T2N1,i,T,157,588,incomplete,man diff
2022-05-21T19:55:57Z,2022-05-21T19:55:57Z,P1,T2N1,i,T,163,594,incomplete,diff -r ./content/labs/ ./content/lessons/
2022-05-21T19:56:13Z,2022-05-21T19:56:13Z,P1,T2N1,i,T,179,610,success,diff -rq ./content/labs/ ./content/lessons/
2022-05-21T19:56:13Z,2022-05-21T19:56:13Z,P1,T2N1,j,T,0,610,incomplete,start_task
2022-05-21T19:57:13Z,2022-05-21T19:57:12Z,P1,T2N1,j,T,59,669,incomplete,find . -size  10k -exec ls -l {} \;
2022-05-21T19:57:23Z,2022-05-21T19:57:23Z,P1,T2N1,j,T,70,680,success,find . -size  10k -exec ls {} \;
2022-05-21T19:57:23Z,2022-05-21T19:57:23Z,P1,T2N1,k,T,0,680,incomplete,start_task
2022-05-21T19:58:55Z,2022-05-21T19:58:54Z,P1,T2N1,k,T,91,771,incomplete,find . -type f -name '*review*' -exec grep -i why {} \; 
2022-05-21T19:59:53Z,2022-05-21T19:59:53Z,P1,T2N1,k,T,150,830,incomplete,find . -type f -name '*review*' -exec grep -li why {} \; 
2022-05-21T20:00:51Z,2022-05-21T20:00:51Z,P1,T2N1,k,T,208,888,incomplete,man grep
2022-05-21T20:00:55Z,2022-05-21T20:00:55Z,P1,T2N1,k,T,211,891,incomplete,find . -type f -name '*review*' -exec grep -ni why {} \; 
2022-05-21T20:01:01Z,2022-05-21T20:01:01Z,P1,T2N1,k,T,218,898,incomplete,find . -type f -name '*review*' -exec grep -lni why {} \; 
2022-05-21T20:01:09Z,2022-05-21T20:01:09Z,P1,T2N1,k,T,225,905,incomplete,find . -type f -name '*review*' -exec grep -mi why {} \; 
2022-05-21T20:01:15Z,2022-05-21T20:01:15Z,P1,T2N1,k,T,232,912,incomplete,find . -type f -name '*review*' -exec grep -ni why {} \; 
2022-05-21T20:01:51Z,2022-05-21T20:01:51Z,P1,T2N1,k,T,268,948,incomplete,find . -type f -name '*review*' -exec grep -i why {} \; 
2022-05-21T20:02:07Z,2022-05-21T20:02:07Z,P1,T2N1,k,T,284,964,incomplete,find . -type f -name '*review*' -exec grep -iR why {} \; 
2022-05-21T20:02:45Z,2022-05-21T20:02:45Z,P1,T2N1,k,T,321,1001,incomplete,find . -type f -name '*review*' -exec grep why {} \; 
2022-05-21T20:02:52Z,2022-05-21T20:02:52Z,P1,T2N1,k,T,329,1009,incomplete,find . -type f -name '*review*' -exec grep -i  why {} \; 
2022-05-21T20:02:55Z,2022-05-21T20:02:55Z,P1,T2N1,k,T,332,1012,skip,skip
2022-05-21T20:02:56Z,2022-05-21T20:02:56Z,P1,T2N1,l,T,0,1012,incomplete,start_task
2022-05-21T20:03:29Z,2022-05-21T20:03:29Z,P1,T2N1,l,T,33,1045,incomplete,start_task
2022-05-21T20:03:29Z,2022-05-21T20:03:29Z,P1,T2N1,l,T,34,1046,incomplete,du -s -h *
2022-05-21T20:03:37Z,2022-05-21T20:03:37Z,P1,T2N1,l,T,42,1054,incomplete,du -s -h content/
2022-05-21T20:05:03Z,2022-05-21T20:05:03Z,P1,T2N1,l,T,128,1140,incomplete,man du
2022-05-21T20:05:08Z,2022-05-21T20:05:08Z,P1,T2N1,l,T,133,1145,incomplete,du -a content/
2022-05-21T20:05:19Z,2022-05-21T20:05:19Z,P1,T2N1,l,T,144,1156,incomplete,du content/
2022-05-21T20:06:25Z,2022-05-21T20:06:25Z,P1,T2N1,l,T,210,1222,incomplete,man du
2022-05-21T20:07:10Z,2022-05-21T20:07:10Z,P1,T2N1,l,T,255,1267,incomplete,find content/ -name 'content/' -exec du -h {} \;
2022-05-21T20:07:29Z,2022-05-21T20:07:29Z,P1,T2N1,l,T,274,1286,incomplete,find ./content/ -exec du -h {} \;
2022-05-21T20:07:52Z,2022-05-21T20:07:52Z,P1,T2N1,l,T,297,1309,incomplete,du -h -max-depth=1 ./content/
2022-05-21T20:07:59Z,2022-05-21T20:07:59Z,P1,T2N1,l,T,304,1316,incomplete,du -h --max-depth=1 ./content/
2022-05-21T20:08:10Z,2022-05-21T20:08:10Z,P1,T2N1,l,T,315,1327,skip,skip
2022-05-21T20:08:36Z,2022-05-21T20:08:36Z,P1,T2N1,a,N,0,1327,incomplete,start_task
2022-05-21T20:09:25Z,2022-05-21T20:09:25Z,P1,T2N1,a,N,49,49,success,find . -type d -empty -delete
2022-05-21T20:09:25Z,2022-05-21T20:09:25Z,P1,T2N1,b,N,0,49,incomplete,start_task
2022-05-21T20:09:47Z,2022-05-21T20:09:47Z,P1,T2N1,b,N,22,71,incomplete,diff ./content/review/review2.md  ./content/review/review1.md
2022-05-21T20:09:58Z,2022-05-21T20:09:58Z,P1,T2N1,b,N,33,82,incomplete,man diff
2022-05-21T20:10:05Z,2022-05-21T20:10:05Z,P1,T2N1,b,N,40,89,incomplete,diff -q ./content/review/review2.md  ./content/review/review1.md
2022-05-21T20:10:22Z,2022-05-21T20:10:22Z,P1,T2N1,b,N,57,106,incomplete,man diff
2022-05-21T20:11:13Z,2022-05-21T20:11:13Z,P1,T2N1,b,N,108,157,success,comm -23 ./content/review/review2.md ./content/review/review1.md 
2022-05-21T20:11:13Z,2022-05-21T20:11:13Z,P1,T2N1,c,N,0,157,incomplete,start_task
2022-05-21T20:12:09Z,2022-05-21T20:12:08Z,P1,T2N1,c,N,55,212,success,find ./content/labs/ -type f | wc -l
2022-05-21T20:12:09Z,2022-05-21T20:12:09Z,P1,T2N1,d,N,0,212,incomplete,start_task
2022-05-21T20:12:56Z,2022-05-21T20:12:56Z,P1,T2N1,d,N,47,260,incomplete,find . ! -name 'tips.md' -type f -exec rm -f {}  
2022-05-21T20:13:21Z,2022-05-21T20:13:21Z,P1,T2N1,d,N,72,285,incomplete,find . ! -name 'tips.md' -type f -exec rm {}  
2022-05-21T20:13:27Z,2022-05-21T20:13:27Z,P1,T2N1,d,N,77,290,incomplete,find . ! -name 'tips.md' -type f -exec rm {} 
2022-05-21T20:13:34Z,2022-05-21T20:13:34Z,P1,T2N1,d,N,85,298,incomplete,find . ! -name 'tips.md' -type f exec rm {}\ 
2022-05-21T20:13:43Z,2022-05-21T20:13:43Z,P1,T2N1,d,N,94,307,incomplete,find . ! -name 'tips.md' -type f -exec rm {} \ 
2022-05-21T20:13:49Z,2022-05-21T20:13:49Z,P1,T2N1,d,N,99,312,incomplete,find . ! -name 'tips.md' -type f -exec rm {}  
2022-05-21T20:14:10Z,2022-05-21T20:14:10Z,P1,T2N1,d,N,121,334,incomplete,find ./content/ ! -name 'tips.md' -type f -exec rm {}  
2022-05-21T20:14:58Z,2022-05-21T20:14:58Z,P1,T2N1,d,N,169,382,incomplete,man rf
2022-05-21T20:15:26Z,2022-05-21T20:15:26Z,P1,T2N1,d,N,197,410,incomplete,man rm
2022-05-21T20:15:34Z,2022-05-21T20:15:34Z,P1,T2N1,d,N,205,418,incomplete,find ./content/ ! -name 'tips.md' -type f -exec rm {}  
2022-05-21T20:15:39Z,2022-05-21T20:15:39Z,P1,T2N1,d,N,210,423,skip,skip
2022-05-21T20:15:39Z,2022-05-21T20:15:39Z,P1,T2N1,e,N,0,423,incomplete,start_task
2022-05-21T20:15:52Z,2022-05-21T20:15:51Z,P1,T2N1,e,N,12,435,incomplete,rm -rf ./css/
2022-05-21T20:16:00Z,2022-05-21T20:16:00Z,P1,T2N1,e,N,21,444,incomplete,rm -rf ./css/*
2022-05-21T20:16:18Z,2022-05-21T20:16:18Z,P1,T2N1,e,N,39,462,incomplete,man rm
2022-05-21T20:16:22Z,2022-05-21T20:16:22Z,P1,T2N1,e,N,43,466,incomplete,rm -f ./css/*
2022-05-21T20:16:27Z,2022-05-21T20:16:27Z,P1,T2N1,e,N,48,471,incomplete,rm -f ./css/
2022-05-21T20:16:53Z,2022-05-21T20:16:53Z,P1,T2N1,e,N,74,497,success,find ./css/ -type f -exec rm -f {}  
2022-05-21T20:16:54Z,2022-05-21T20:16:54Z,P1,T2N1,f,N,0,497,incomplete,start_task
2022-05-21T20:18:30Z,2022-05-21T20:18:30Z,P1,T2N1,f,N,96,594,incomplete,find ./content/ -type d -path '*/*/'
2022-05-21T20:18:56Z,2022-05-21T20:18:56Z,P1,T2N1,f,N,122,620,incomplete,find ./content/ -type d -path 'content/*/'
2022-05-21T20:18:59Z,2022-05-21T20:18:59Z,P1,T2N1,f,N,125,623,skip,skip
2022-05-22T20:26:55Z,2022-05-22T20:26:54Z,P2,T2N1,v,T,0,,incomplete,start_task
2022-05-22T20:26:55Z,2022-05-22T20:26:55Z,P2,T2N1,v,T,1,1653251215,incomplete,start_task
2022-05-22T20:26:59Z,2022-05-22T20:26:59Z,P2,T2N1,v,T,5,1653251219,incomplete,helpme
2022-05-22T20:27:49Z,2022-05-22T20:27:49Z,P2,T2N1,v,T,55,1653251269,incomplete,mv ./READNE.md ./README.txt
2022-05-22T20:28:42Z,2022-05-22T20:28:42Z,P2,T2N1,v,T,108,1653251322,success,mv README.md README.txt
2022-05-22T20:28:43Z,2022-05-22T20:28:42Z,P2,T2N1,w,T,0,1653251322,incomplete,start_task
2022-05-22T20:28:56Z,2022-05-22T20:28:56Z,P2,T2N1,w,T,13,1653251335,success,cat css/app.css
2022-05-22T20:28:56Z,2022-05-22T20:28:56Z,P2,T2N1,x,T,0,1653251335,incomplete,start_task
2022-05-22T20:29:27Z,2022-05-22T20:29:27Z,P2,T2N1,x,T,31,1653251367,incomplete,grep glyph . | rm -R
2022-05-22T20:29:44Z,2022-05-22T20:29:44Z,P2,T2N1,x,T,48,1653251384,incomplete,grep glyph . | rm -R .
