server_time_stamp,client_time_stamp,user_id,task_order,task_code,treatment,time_elapsed,time_elapsed_task_set,status,command
2022-04-07T22:09:47Z,2022-04-07T22:09:46Z,junxingg,T2N1,v,T,0,,incomplete,start_task
2022-04-07T22:09:47Z,2022-04-07T22:09:47Z,junxingg,T2N1,v,T,1,1649369387,incomplete,start_task
2022-04-07T22:09:59Z,2022-04-07T22:09:59Z,junxingg,T2N1,v,T,13,1649369399,incomplete,aaaaa
2022-04-07T22:10:29Z,2022-04-07T22:10:28Z,junxingg,T2N1,v,T,42,1649369428,incomplete,asdasdkhsd
2022-04-07T22:10:38Z,2022-04-07T22:10:38Z,junxingg,T2N1,v,T,52,1649369438,incomplete,asdasd
2022-04-07T22:10:58Z,2022-04-07T22:10:58Z,junxingg,T2N1,v,T,72,1649369458,success,mv README.md README.txt
2022-04-07T22:10:58Z,2022-04-07T22:10:58Z,junxingg,T2N1,w,T,0,1649369458,incomplete,start_task
2022-04-07T22:11:13Z,2022-04-07T22:11:13Z,junxingg,T2N1,w,T,14,1649369472,success,cat ./css/app.css
2022-04-07T22:11:13Z,2022-04-07T22:11:13Z,junxingg,T2N1,x,T,0,1649369472,incomplete,start_task
2022-04-07T22:11:30Z,2022-04-07T22:11:30Z,junxingg,T2N1,x,T,17,1649369490,incomplete,rm -r *glyph*
2022-04-07T22:11:54Z,2022-04-07T22:11:54Z,junxingg,T2N1,x,T,41,1649369514,incomplete,"rm -r ""./*glyph*"""
2022-04-07T22:13:12Z,2022-04-07T22:13:12Z,junxingg,T2N1,x,T,118,1649369591,incomplete,"rm ""*glyph*"""
2022-04-07T22:13:29Z,2022-04-07T22:13:28Z,junxingg,T2N1,x,T,135,1649369608,incomplete,rm *glyph*
2022-04-07T22:15:03Z,2022-04-07T22:15:03Z,junxingg,T2N1,x,T,230,1649369703,incomplete,rm -r *glyph*
2022-04-07T22:15:25Z,2022-04-07T22:15:25Z,junxingg,T2N1,x,T,251,1649369724,incomplete,rm -r *'glyph'*
2022-04-07T22:16:24Z,2022-04-07T22:16:24Z,junxingg,T2N1,x,T,310,1649369783,incomplete,rm -r *
2022-04-07T22:16:40Z,2022-04-07T22:16:40Z,junxingg,T2N1,x,T,327,1649369800,incomplete,rm -r **/*glyph*
2022-04-07T22:17:03Z,2022-04-07T22:17:03Z,junxingg,T2N1,x,T,350,1649369823,incomplete,rm -r **/*glyph*.*
2022-04-07T22:17:16Z,2022-04-07T22:17:16Z,junxingg,T2N1,x,T,363,1649369836,incomplete,rm -r **/.*glyph.*
2022-04-07T22:17:30Z,2022-04-07T22:17:30Z,junxingg,T2N1,x,T,377,1649369850,incomplete,ls *glyph*
2022-04-07T22:18:18Z,2022-04-07T22:18:18Z,junxingg,T2N1,x,T,425,1649369898,incomplete,man rm
2022-04-07T22:18:31Z,2022-04-07T22:18:31Z,junxingg,T2N1,x,T,438,1649369911,incomplete,rm . glyph
2022-04-07T22:18:51Z,2022-04-07T22:18:50Z,junxingg,T2N1,x,T,457,1649369930,incomplete,rm ./.*glyph.*
2022-04-07T22:19:29Z,2022-04-07T22:19:29Z,junxingg,T2N1,x,T,496,1649369969,incomplete,rm ./.*glyph.*..*
2022-04-07T22:20:41Z,2022-04-07T22:20:41Z,junxingg,T2N1,x,T,568,1649370041,incomplete,help expand
2022-04-07T22:22:30Z,2022-04-07T22:22:29Z,junxingg,T2N1,x,T,676,1649370149,incomplete,find . -name '*glyph*' | rm
2022-04-07T22:22:47Z,2022-04-07T22:22:46Z,junxingg,T2N1,x,T,693,1649370166,incomplete,find . -name '*glyph*' -exec rm
2022-04-07T22:23:05Z,2022-04-07T22:23:04Z,junxingg,T2N1,x,T,711,1649370184,incomplete,man rm
2022-04-07T22:23:43Z,2022-04-07T22:23:43Z,junxingg,T2N1,x,T,750,1649370223,incomplete,man find
2022-04-07T22:23:59Z,2022-04-07T22:23:59Z,junxingg,T2N1,x,T,766,1649370239,incomplete,man xargs
2022-04-07T22:24:07Z,2022-04-07T22:24:07Z,junxingg,T2N1,x,T,774,1649370247,success,find . -name '*glyph*' | xargs rm
2022-04-07T22:27:51Z,2022-04-07T22:27:51Z,junxingg,T2N1,y,T,0,1649370247,incomplete,start_task
2022-04-07T22:28:29Z,2022-04-07T22:28:29Z,junxingg,T2N1,y,T,38,1649370509,incomplete,Copy './content/tips.md' in new directory './content/backup/'
2022-04-07T22:29:19Z,2022-04-07T22:29:19Z,junxingg,T2N1,y,T,88,1649370559,incomplete, cp ./content/tips.md ./content/backup/ 
2022-04-07T22:30:16Z,2022-04-07T22:30:16Z,junxingg,T2N1,y,T,145,1649370616,incomplete, cp -f ./content/tips.md ./content/backup/ 
2022-04-07T22:33:21Z,2022-04-07T22:33:20Z,junxingg,T2N1,y,T,329,1649370800,incomplete,man mkdir
2022-04-07T22:34:23Z,2022-04-07T22:34:23Z,junxingg,T2N1,y,T,392,1649370863,incomplete,man  cp
2022-04-07T22:34:31Z,2022-04-07T22:34:30Z,junxingg,T2N1,y,T,399,1649370870,incomplete,mkdir
2022-04-07T22:34:52Z,2022-04-07T22:34:52Z,junxingg,T2N1,y,T,421,1649370892,incomplete,man mkdir
2022-04-07T22:36:31Z,2022-04-07T22:36:30Z,junxingg,T2N1,y,T,519,1649370990,incomplete,man cp
